entry	name	body
10001020	FUN_10001020	[[10001020, 100010c5]]
100010d0	FUN_100010d0	[[100010d0, 10001104]]
10001110	FUN_10001110	[[10001110, 100011b8]]
100011c0	FUN_100011c0	[[100011c0, 100011f9]]
10001200	FUN_10001200	[[10001200, 100012b1]]
100012c0	FUN_100012c0	[[100012c0, 100012d7]]
100012e0	FUN_100012e0	[[100012e0, 1000130d]]
10001310	FUN_10001310	[[10001310, 1000133a]]
10001340	FUN_10001340	[[10001340, 1000136a]]
10001370	FUN_10001370	[[10001370, 1000139a]]
100013a0	FUN_100013a0	[[100013a0, 1000159a]]
1000159d	FUN_1000159d	[[1000159d, 100015a7]]
100015b0	FUN_100015b0	[[100015b0, 10001655]]
10001660	FUN_10001660	[[10001660, 100017ee]]
100017f0	FUN_100017f0	[[100017f0, 10001829]]
10001830	FUN_10001830	[[10001830, 10001a2b]]
10001a30	FUN_10001a30	[[10001a30, 10001aea]]
10001af0	FUN_10001af0	[[10001af0, 10001b83]]
10001b86	FUN_10001b86	[[10001b86, 10001be5]]
10001bf0	DS_Entry	[[10001bf0, 10001fea]]
10001ff0	thunk_FUN_10004070	[[10001ff0, 10001ff4]]
10002000	FUN_10002000	[[10002000, 1000202a]]
10002030	FUN_10002030	[[10002030, 10002033]]
10002040	FUN_10002040	[[10002040, 10002043]]
10002050	FUN_10002050	[[10002050, 10002099] [100020a0, 100020c3]]
100020d0	FUN_100020d0	[[100020d0, 100020d3]]
100020e0	FUN_100020e0	[[100020e0, 100020e3]]
100020f0	FUN_100020f0	[[100020f0, 1000219c]]
100021a0	FUN_100021a0	[[100021a0, 1000222a]]
10002230	FUN_10002230	[[10002230, 10002303]]
10002320	FUN_10002320	[[10002320, 1000239a]]
100023b0	FUN_100023b0	[[100023b0, 100023da]]
100023e0	FUN_100023e0	[[100023e0, 10002411]]
10002420	FUN_10002420	[[10002420, 10002465]]
10002470	FUN_10002470	[[10002470, 10002524]]
10002530	FUN_10002530	[[10002530, 1000253c]]
10002540	FUN_10002540	[[10002540, 10002573]]
10002580	FUN_10002580	[[10002580, 1000264d]]
10002650	FUN_10002650	[[10002650, 100026fa]]
10002700	FUN_10002700	[[10002700, 10002720]]
10002730	FUN_10002730	[[10002730, 10002751]]
10002760	FUN_10002760	[[10002760, 100027f3]]
10002800	FUN_10002800	[[10002800, 10002894]]
100028a0	FUN_100028a0	[[100028a0, 10002958]]
10002960	FUN_10002960	[[10002960, 100029d0]]
100029e0	FUN_100029e0	[[100029e0, 10002a04]]
10002a10	FUN_10002a10	[[10002a10, 10002c69]]
10002c90	FUN_10002c90	[[10002c90, 10002fd5]]
10002ff0	FUN_10002ff0	[[10002ff0, 1000312c] [10003130, 1000328a]]
100032b0	FUN_100032b0	[[100032b0, 1000367a]]
10003690	FUN_10003690	[[10003690, 10003a97]]
10003ab0	FUN_10003ab0	[[10003ab0, 10003ad4]]
10003ae0	FUN_10003ae0	[[10003ae0, 10003b06]]
10003b10	FUN_10003b10	[[10003b10, 10003b34]]
10003b40	FUN_10003b40	[[10003b40, 10003b66]]
10003b70	FUN_10003b70	[[10003b70, 10003b96]]
10003ba0	FUN_10003ba0	[[10003ba0, 10003c38]]
10003c40	FUN_10003c40	[[10003c40, 10003c77]]
10003c80	FUN_10003c80	[[10003c80, 10003cbc]]
10003cc0	FUN_10003cc0	[[10003cc0, 10003d03]]
10003d10	FUN_10003d10	[[10003d10, 10003dc3]]
10003dc4	Catch@10003dc4	[[10003dc4, 10003dc9]]
10003df0	FUN_10003df0	[[10003df0, 10003eab]]
10003eac	Catch@10003eac	[[10003eac, 10003eb1]]
10003ed0	FUN_10003ed0	[[10003ed0, 10003f5a]]
10003f60	FUN_10003f60	[[10003f60, 10003fdf]]
10003fe0	FUN_10003fe0	[[10003fe0, 1000406b]]
10004070	FUN_10004070	[[10004070, 100040a4]]
100040b0	FUN_100040b0	[[100040b0, 10004183]]
10004190	FUN_10004190	[[10004190, 100041c8]]
100041d0	FUN_100041d0	[[100041d0, 1000425f]]
10004260	Catch@10004260	[[10004260, 10004272]]
10004276	FUN_10004276	[[10004276, 1000428b]]
100042a0	_strchr	[[10004290, 10004294] [100042a0, 1000435d]]
1000435e	FUN_1000435e	[[1000435e, 100043bb]]
100043bc	_free	[[100043bc, 10004411] [1000441b, 10004449]]
10004412	FUN_10004412	[[10004412, 1000441a]]
1000444a	_wcscat_s	[[1000444a, 100044c3]]
100044c4	_V6_HeapAlloc	[[100044c4, 10004509]]
1000450a	FUN_1000450a	[[1000450a, 10004512]]
10004513	_malloc	[[10004513, 100045d5]]
100045d6	__security_check_cookie	[[100045d6, 100045e4]]
100045e5	_wcscpy_s	[[100045e5, 10004650]]
10004651	_strcpy_s	[[10004651, 100046b5]]
100046b6	_strcat_s	[[100046b6, 10004726]]
10004730	__except_handler4	[[10004730, 100048c5]]
100048c6	_atol	[[100048c6, 100048d6]]
100048d7	_atol	[[100048d7, 100048db]]
100048dc	_JumpToContinuation	[[100048dc, 10004906]]
1000490c	FID_conflict:_CallMemberFunction1	[[1000490c, 10004912]]
10004913	_UnwindNestedFrames	[[10004913, 10004964]]
10004965	FID_conflict:___CxxFrameHandler3	[[10004965, 1000499a]]
100049cb	_CallSETranslator	[[100049cb, 10004a9f]]
10004aa0	TranslatorGuardHandler	[[10004aa0, 10004acd] [10004ad0, 10004b36] [10004b3a, 10004b3c]]
10004b3d	_GetRangeOfTrysToCheck	[[10004b3d, 10004baf]]
10004bb0	__CreateFrameInfo	[[10004bb0, 10004bd7]]
10004bd8	__IsExceptionObjectToBeDestroyed	[[10004bd8, 10004bf8]]
10004bf9	__FindAndUnlinkFrame	[[10004bf9, 10004c44]]
10004c45	_CallCatchBlock2	[[10004c45, 10004ca2]]
10004ca3	__CRT_INIT@12	[[10004ca3, 10004e7b]]
10004e7c	___DllMainCRTStartup	[[10004e7c, 10004f4e] [10004f63, 10004f71]]
10004f72	entry	[[10004f72, 10004f92]]
10004f93	_wcsrchr	[[10004f93, 10004fc2]]
10004fd0	_memcpy	[[10004fd0, 10005032] [10005034, 10005052] [10005054, 1000505a] [10005068, 10005090] [10005094, 100050b6] [100050b8, 100050d4] [100050f8, 10005141] [10005154, 1000515a] [1000515c, 10005166] [10005168, 10005178] [1000517c, 10005192] [10005194, 100051b9] [100051bc, 100051c4] [100051c8, 100051e6] [100051f4, 10005214] [10005218, 1000523e] [10005240, 10005270] [10005294, 100052dd] [100052f0, 100052f6] [100052f8, 10005304] [10005308, 1000531a] [1000531c, 10005334]]
10005335	~type_info	[[10005335, 10005342]]
10005343	`scalar_deleting_destructor'	[[10005343, 1000535e]]
1000535f	operator==	[[1000535f, 10005379]]
1000537a	_free	[[1000537a, 1000537e]]
1000537f	_realloc	[[1000537f, 100054bc] [100054cc, 10005599]]
100054c3	FUN_100054c3	[[100054c3, 100054cb]]
1000559a	_LocaleUpdate	[[1000559a, 1000561b]]
1000561c	__wcsicmp_l	[[1000561c, 1000572a]]
1000572b	__wcsicmp	[[1000572b, 100057bb]]
100057bc	bad_alloc	[[100057bc, 100057d4]]
100057e0	FUN_100057e0	[[100057e0, 10005801]]
1000581a	operator_new	[[1000581a, 10005883]]
10005890	_memmove	[[10005890, 100058f2] [100058f4, 10005912] [10005914, 1000591a] [10005928, 10005950] [10005954, 10005976] [10005978, 10005994] [100059b8, 10005a01] [10005a14, 10005a1a] [10005a1c, 10005a26] [10005a28, 10005a38] [10005a3c, 10005a52] [10005a54, 10005a79] [10005a7c, 10005a84] [10005a88, 10005aa6] [10005ab4, 10005ad4] [10005ad8, 10005afe] [10005b00, 10005b30] [10005b54, 10005b9d] [10005bb0, 10005bb6] [10005bb8, 10005bc4] [10005bc8, 10005bda] [10005bdc, 10005bf4]]
10005bf5	__isleadbyte_l	[[10005bf5, 10005c2a]]
10005c2b	FUN_10005c2b	[[10005c2b, 10005c38]]
10005c39	_free	[[10005c39, 10005c3d]]
10005c3e	operator_new	[[10005c3e, 10005c42]]
10005c43	FUN_10005c43	[[10005c43, 10005c7d]]
10005c7e	FUN_10005c7e	[[10005c7e, 10005c90]]
10005c91	FUN_10005c91	[[10005c91, 10005ca3]]
10005ca4	FUN_10005ca4	[[10005ca4, 10005cc1]]
10005cc2	___heap_select	[[10005cc2, 10005ce7] [10005ceb, 10005d02] [10005d06, 10005d1c]]
10005d1d	__heap_init	[[10005d1d, 10005d76]]
10005d77	__heap_term	[[10005d77, 10005dea]]
10005deb	__mtinitlocks	[[10005deb, 10005e33]]
10005e34	__mtdeletelocks	[[10005e34, 10005e88]]
10005e89	FUN_10005e89	[[10005e89, 10005e9d]]
10005e9e	__mtinitlocknum	[[10005e9e, 10005f57]]
10005f58	FUN_10005f58	[[10005f58, 10005f60]]
10005f61	__lock	[[10005f61, 10005f91]]
10005f92	___sbh_heap_init	[[10005f92, 10005fd9]]
10005fda	thunk_FUN_10005ffe	[[10005fda, 10005feb]]
10005ffe	FUN_10005ffe	[[10005fec, 10006004]]
10006005	___sbh_free_block	[[10006005, 10006318]]
10006319	___sbh_alloc_new_region	[[10006319, 100063c8]]
100063c9	___sbh_alloc_new_group	[[100063c9, 100064ce]]
100064cf	___sbh_resize_block	[[100064cf, 100067ad]]
100067ae	___sbh_alloc_block	[[100067ae, 10006a90]]
10006a94	__SEH_prolog4	[[10006a94, 10006ad8]]
10006ad9	__SEH_epilog4	[[10006ad9, 10006aec]]
10006aed	FUN_10006aed	[[10006aed, 10006af6]]
10006af7	__invoke_watson	[[10006af7, 10006bf2]]
10006bf3	FUN_10006bf3	[[10006bf3, 10006c16]]
10006c17	__amsg_exit	[[10006c17, 10006c3a]]
10006c3b	FUN_10006c3b	[[10006c3b, 10006c60]]
10006c61	___crtExitProcess	[[10006c61, 10006c74]]
10006c76	FUN_10006c76	[[10006c76, 10006c7e]]
10006c7f	FUN_10006c7f	[[10006c7f, 10006c87]]
10006c88	FUN_10006c88	[[10006c88, 10006c9f]]
10006ca0	__initterm_e	[[10006ca0, 10006cbf]]
10006cc0	__get_osplatform	[[10006cc0, 10006cf6]]
10006cf7	__get_winmajor	[[10006cf7, 10006d32]]
10006d33	__cinit	[[10006d33, 10006dc4]]
10006dc5	FUN_10006dc5	[[10006dc5, 10006e91] [10006ea1, 10006ea6]]
10006e92	FUN_10006e92	[[10006e92, 10006ea0]]
10006ea7	__exit	[[10006ea7, 10006eb7]]
10006eb8	__cexit	[[10006eb8, 10006ec6]]
10006ec7	__init_pointers	[[10006ec7, 10006f12]]
10006f13	FUN_10006f13	[[10006f13, 10006f94] [10006f98, 10006fd8] [10006fdc, 1000701b] [10007021, 1000703f] [10007043, 10007061] [10007065, 100070b2]]
100070b3	__FF_MSGBANNER	[[100070b3, 100070eb]]
100070ec	FUN_100070ec	[[100070ec, 100070f5]]
100070f6	__callnewh	[[100070f6, 10007117]]
10007118	___report_gsfailure	[[10007118, 1000721b]]
1000721c	__local_unwind4	[[1000721c, 100072ab]]
100072f2	FUN_100072f2	[[100072f2, 1000730d]]
1000730e	_EH4_CallFilterFunc	[[1000730e, 10007324]]
10007325	_EH4_TransferToHandler	[[10007325, 1000733d]]
1000733e	_EH4_GlobalUnwind	[[1000733e, 10007357]]
10007358	_EH4_LocalUnwind	[[10007358, 1000736e]]
10007370	__ValidateImageBase	[[10007370, 10007398]]
100073a0	__FindPESection	[[100073a0, 100073e1]]
100073f0	__IsNonwritableInCurrentImage	[[100073f0, 10007478] [10007490, 100074aa]]
100074ab	strtoxl	[[100074ab, 100076d5]]
100076d6	_strtol	[[100076d6, 100076fe]]
1000770a	FUN_1000770a	[[1000770a, 1000772b]]
1000772c	___TypeMatch	[[1000772c, 10007787]]
10007788	FUN_10007788	[[10007788, 100077cb]]
100077cc	___FrameUnwindToState	[[100077cc, 1000784d] [10007868, 1000788b]]
10007892	FUN_10007892	[[10007892, 100078ac]]
100078ad	FUN_100078ad	[[100078ad, 100078f1]]
100078f2	___DestructExceptionObject	[[100078f2, 10007934]]
10007946	___AdjustPointer	[[10007946, 1000796a]]
1000796b	IsInExceptionSpec	[[1000796b, 100079e3]]
100079e4	CallUnexpected	[[100079e4, 10007a14]]
10007a15	Catch_All@10007a15	[[10007a15, 10007a2c]]
10007a2d	CallCatchBlock	[[10007a2d, 10007abc] [10007b2c, 10007b47]]
10007b53	FUN_10007b53	[[10007b53, 10007bc8]]
10007bc9	___BuildCatchObjectHelper	[[10007bc9, 10007d33] [10007d40, 10007d47]]
10007d48	___BuildCatchObject	[[10007d48, 10007dcc]]
10007dd9	CatchIt	[[10007dd9, 10007e44]]
10007e45	FindHandlerForForeignException	[[10007e45, 10007f36]]
10007f37	FindHandler	[[10007f37, 1000828c]]
100082a5	___InternalCxxFrameHandler	[[100082a5, 10008388]]
10008389	FUN_10008389	[[10008389, 100083f4]]
100083f5	FUN_100083f5	[[100083f5, 10008462]]
10008463	__encoded_null	[[10008463, 1000846b]]
1000846c	FUN_1000846c	[[1000846c, 100084d9]]
100084e3	FUN_100084e3	[[100084e3, 10008514]]
10008515	__mtterm	[[10008515, 10008551]]
10008552	FUN_10008552	[[10008552, 10008607]]
10008608	FUN_10008608	[[10008608, 10008610]]
10008611	FUN_10008611	[[10008611, 10008687]]
10008688	__getptd	[[10008688, 1000869f]]
100086a0	__freefls@4	[[100086a0, 100087a8]]
100087ac	FUN_100087ac	[[100087ac, 100087b4]]
100087b8	FUN_100087b8	[[100087b8, 100087c0]]
100087c1	__freeptd	[[100087c1, 10008829]]
1000882a	__mtinit	[[1000882a, 100089ad]]
100089ae	terminate	[[100089ae, 100089cd] [100089d5, 100089e0]]
100089e7	unexpected	[[100089e7, 100089f9]]
100089fa	_inconsistency	[[100089fa, 10008a1d] [10008a25, 10008a30]]
10008a31	__initp_eh_hooks	[[10008a31, 10008a41]]
10008a50	__CallSettingFrame@12	[[10008a50, 10008a9b]]
10008a9c	__malloc_crt	[[10008a9c, 10008adb]]
10008adc	__calloc_crt	[[10008adc, 10008b23]]
10008b24	__realloc_crt	[[10008b24, 10008b6e]]
10008b6f	__ioinit	[[10008b6f, 10008d97] [10008da6, 10008dae]]
10008daf	__ioterm	[[10008daf, 10008dfa]]
10008dfb	__setenvp	[[10008dfb, 10008e8e] [10008e92, 10008ed5]]
10008ed6	parse_cmdline	[[10008ed6, 1000906d]]
1000906e	__setargv	[[1000906e, 10009126]]
10009127	___crtGetEnvironmentStringsA	[[10009127, 1000925b]]
1000925c	__RTC_Initialize	[[1000925c, 1000927f]]
100092a4	FUN_100092a4	[[100092a4, 100092a4]]
100092a5	FUN_100092a5	[[100092a5, 10009402]]
10009403	FUN_10009403	[[10009403, 1000941d]]
1000941e	___security_init_cookie	[[1000941e, 100094b1]]
100094b2	FUN_100094b2	[[100094b2, 100094cb] [100094d2, 10009538]]
10009539	__VEC_memcpy	[[10009539, 1000961b]]
10009630	_Type_info_dtor	[[10009630, 10009696]]
10009697	FUN_10009697	[[10009697, 1000969f]]
100096a0	_strcmp	[[100096a0, 100096e2] [100096e4, 10009727]]
10009730	_memset	[[10009730, 100097a9]]
100097aa	__msize	[[100097aa, 1000983b]]
10009844	FUN_10009844	[[10009844, 1000984c]]
1000984d	FUN_1000984d	[[1000984d, 1000987b]]
1000987c	setSBCS	[[1000987c, 100098d0]]
100098d1	setSBUpLow	[[100098d1, 10009a5a]]
10009a5b	___updatetmbcinfo	[[10009a5b, 10009af2]]
10009af6	FUN_10009af6	[[10009af6, 10009afe]]
10009aff	getSystemCP	[[10009aff, 10009b78]]
10009b79	FUN_10009b79	[[10009b79, 10009d51]]
