address	value
1000e1d0	Unicows.dll
1000e1dc	???.???
1000e1fc	Kernel32.dll
1000e218	Kernel32.dll
1000e228	empty
1000e238	PATH
1000e244	InstallDirectory
1000e268	CreateActCtxW
1000e278	ActivateActCtx
1000e288	DeactivateActCtx
1000e29c	FindActCtxSectionStringW
1000e2b8	QueryActCtxW
1000e2c8	Comctl32.dll
1000e2e4	GetModuleHandleExW
1000e2f8	IsolationAware function called after IsolationAwareCleanup\n
1000e334	ProductName
1000e34c	ProductFamily
1000e368	Manufacturer
1000e386	 DriverDate
1000e3a0	DriverVersion
1000e3bc	tpmClose
1000e3c8	tpmOpen
1000e3d0	tpmDispatch
1000e3dc	tpm.dll
1000e3f0	AvailableDriver
1000e410	SOFTWARE
1000e424	bad allocation
1000e4c8	Canon
1000e4d4	ScanGear
1000e4e8	Devices
1000e4f8	__Canon_ScanGear_Main__
1000e544	CorExitProcess
1000e554	mscoree.dll
1000e560	runtime error 
1000e574	TLOSS error\r\n
1000e584	SING error\r\n
1000e594	DOMAIN error\r\n
1000e5a8	R6034\r\nAn application has made an attempt to load the C runtime library incorrectly.\nPlease contact the application's support team for more information.\r\n
1000e648	R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
1000e740	R6032\r\n- not enough space for locale information\r\n
1000e778	R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
1000e7dc	R6030\r\n- CRT not initialized\r\n
1000e7fc	R6028\r\n- unable to initialize heap\r\n
1000e824	R6027\r\n- not enough space for lowio initialization\r\n
1000e85c	R6026\r\n- not enough space for stdio initialization\r\n
1000e894	R6025\r\n- pure virtual function call\r\n
1000e8bc	R6024\r\n- not enough space for _onexit/atexit table\r\n
1000e8f4	R6019\r\n- unable to open console device\r\n
1000e920	R6018\r\n- unexpected heap error\r\n
1000e944	R6017\r\n- unexpected multithread lock error\r\n
1000e974	R6016\r\n- not enough space for thread data\r\n
1000e9a0	\r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application's support team for more information.\r\n
1000ea38	R6009\r\n- not enough space for environment\r\n
1000ea64	R6008\r\n- not enough space for arguments\r\n
1000ea90	R6002\r\n- floating point support not loaded\r\n
1000eac0	Microsoft Visual C++ Runtime Library
1000eaf0	<program name unknown>
1000eb08	Runtime Error!\n\nProgram: 
1000eb3c	bad exception
1000eb54	EncodePointer
1000eb64	KERNEL32.DLL
1000eb74	DecodePointer
1000eb84	FlsFree
1000eb8c	FlsSetValue
1000eb98	FlsGetValue
1000eba4	FlsAlloc
1000ec40	Unknown exception
1000ec74	InitializeCriticalSectionAndSpinCount
1000ec9c	kernel32.dll
1000ecac	GetProcessWindowStation
1000ecc4	GetUserObjectInformationA
1000ece0	GetLastActivePopup
1000ecf4	GetActiveWindow
1000ed04	MessageBoxA
1000ed10	USER32.DLL
1000ed1c	 Complete Object Locator'
1000ed38	 Class Hierarchy Descriptor'
1000ed58	 Base Class Array'
1000ed6c	 Base Class Descriptor at (
1000ed88	 Type Descriptor'
1000ed9c	`local static thread guard'
1000edb8	`managed vector copy constructor iterator'
1000ede4	`vector vbase copy constructor iterator'
1000ee10	`vector copy constructor iterator'
1000ee34	`dynamic atexit destructor for '
1000ee58	`dynamic initializer for '
1000ee74	`eh vector vbase copy constructor iterator'
1000eea0	`eh vector copy constructor iterator'
1000eec8	`managed vector destructor iterator'
1000eef0	`managed vector constructor iterator'
1000ef18	`placement delete[] closure'
1000ef38	`placement delete closure'
1000ef54	`omni callsig'
1000ef64	 delete[]
1000ef70	 new[]
1000ef78	`local vftable constructor closure'
1000ef9c	`local vftable'
1000efac	`RTTI
1000efb8	`udt returning'
1000efc8	`copy constructor closure'
1000efe4	`eh vector vbase constructor iterator'
1000f00c	`eh vector destructor iterator'
1000f02c	`eh vector constructor iterator'
1000f050	`virtual displacement map'
