address	value
1002d2c8	IX-24135H       
1002d2ec	IX-48075H       
1002d310	IX-48085H       
1002d334	MP240 series    
1002d358	MP260 series    
1002d37c	MP480 series    
1002d3a0	MP540 series    
1002d3c4	MP620 series    
1002d3e8	MP630 series    
1002d40c	MP980 series    
1002d5c4	SVCHOST.EXE
1002d5dc	CNBJNPSCAN
1002d5f4	\USDRESUS.DLL
1002d610	\USDRESID.DLL
1002d62c	\USDRESAR.DLL
1002d648	\USDRESTH.DLL
1002d664	\USDRESTR.DLL
1002d680	\USDRESSE.DLL
1002d69c	\USDRESNO.DLL
1002d6b8	\USDRESGR.DLL
1002d6d4	\USDRESFI.DLL
1002d6f0	\USDRESDK.DLL
1002d70c	\USDRESJP.DLL
1002d728	\USDRESKR.DLL
1002d744	\USDRESCZ.DLL
1002d760	\USDRESHU.DLL
1002d77c	\USDRESRU.DLL
1002d798	\USDRESPL.DLL
1002d7b4	\USDRESNL.DLL
1002d7d0	\USDRESPT.DLL
1002d7ec	\USDRESES.DLL
1002d808	\USDRESIT.DLL
1002d824	\USDRESDE.DLL
1002d840	\USDRESFR.DLL
1002d85c	\USDRESTW.DLL
1002d878	\USDRESCN.DLL
1002d894	Language
1002d8a8	LangID
1002d8b8	\_SETSCN_.INI
1002d8d4	IDPushButton10
1002d8f4	IDPushButton9
1002d910	IDPushButton8
1002d92c	IDPushButton7
1002d948	IDPushButton6
1002d964	IDPushButton5
1002d980	IDPushButton4
1002d99c	IDPushButton3
1002d9b8	IDPushButton2
1002d9d4	IDPushButton1
1002d9f0	InstallDirectory
1002da14	SimulationMode
1002da34	ImageProcessingFilter
1002da60	DeviceKey
1002da74	DeviceData
1002da94	PushEventImageSource
1002dac0	PushEventScanType
1002dae4	PushEventButtonType
1002dc94	GetReadStatus
1002dca4	GetCropStatus
1002dcb4	SetErrorToDevice
1002dcc8	UnlockScanner
1002dcd8	LockScanner
1002dce4	GetLampStatus
1002dcf4	GetOPUMode
1002dd00	GetCanonAPIVersionXP
1002dd18	SetGamma
1002dd24	SetLamp
1002dd2c	GetScannerAbilityXp
1002dd40	GetScannerAbilitySize
1002dd58	TerminateScanner
1002dd6c	StopScanEx
1002dd78	StartScanEx
1002dd84	GetCarriagePosition
1002dd98	GetCalibrationStatus
1002ddb0	DoCalibration
1002ddc0	ReadPushButton
1002ddd0	InitialButton
1002dde0	ReadScan
1002ddec	GetAGData
1002ddf8	SetAGData
1002de04	SetScanParameter
1002de18	GetScannerStatus
1002de2c	GetDataStatus
1002de3c	TestScanner
1002de48	InitializeScanner
1002de5c	FindScannerEx
1002de6c	\ABILITY.BIN
1002de88	IX-24135H       
1002deac	IX-48075H       
1002ded0	IX-48085H       
1002def4	MP240 series    
1002df18	MP260 series    
1002df3c	MP480 series    
1002df60	MP540 series    
1002df84	MP620 series    
1002dfa8	MP630 series    
1002dfcc	MP980 series    
1002dff0	\CNQ2413L.DLL
1002e00c	IX-24135H
1002e020	Global\L100 Mutex
1002e044	\CNQ4807L.DLL
1002e060	IX-48075H
1002e074	Global\L200 Mutex
1002e098	\CNQ4808L.DLL
1002e0b4	IX-48085H
1002e0c8	Global\5600F series Mutex
1002e0fc	\CNC240L.DLL
1002e118	MP240 series
1002e134	Global\MP240 series Mutex
1002e168	\CNC260L.DLL
1002e184	MP260 series
1002e1a0	Global\MP260 series Mutex
1002e1d4	\CNC480L.DLL
1002e1f0	MP480 series
1002e20c	Global\MP480 series Mutex
1002e240	\CNC540L.DLL
1002e25c	MP540 series
1002e278	Global\MP540 series Mutex
1002e2ac	\CNC620L.DLL
1002e2c8	MP620 series
1002e2e4	Global\MP620 series Mutex
1002e318	\CNC630L.DLL
1002e334	MP630 series
1002e350	Global\MP630 series Mutex
1002e384	\CNC980L.DLL
1002e3a0	MP980 series
1002e3bc	Global\MP980 series Mutex
1002e3f0	IX-24135H       
1002e414	IX-48075H       
1002e438	IX-48085H       
1002e45c	MP240 series    
1002e480	MP260 series    
1002e4a4	MP480 series    
1002e4c8	MP540 series    
1002e4ec	MP620 series    
1002e510	MP630 series    
1002e534	MP980 series    
1002e558	empty
1002e570	No Error
1002e584	Device Error, Unknown Error
1002e5cc	        
1002e5e8	Root
1002e5fc	\Root
1002e610	CNQ4808
1002e620	CNQ4807
1002e630	CNQ2413
1002e640	ButtonNum
1002e654	Feeder
1002e664	Flatbed
1002e674	\Top
1002e680	IX-24135H       
1002e6a4	IX-48075H       
1002e6c8	IX-48085H       
1002e6ec	MP240 series    
1002e710	MP260 series    
1002e734	MP480 series    
1002e758	MP540 series    
1002e77c	MP620 series    
1002e7a0	MP630 series    
1002e7c4	MP980 series    
1002e8b4	Show preview control
1002e8e0	Orientation
1002e8f8	Page Size
1002e90c	Page Height
1002e924	Page Width
1002e93c	Actual Y Resolution
1002e964	Actual X Resolution
1002e98c	Halftone
1002e9a0	Bit Depth Reduction
1002e9c8	Supports Child Item Creation
1002ea04	Compression
1002ea1c	Planar
1002ea2c	Preferred Format
1002ea50	Buffer Size
1002ea68	Item Size
1002ea7c	Number of Lines
1002ea9c	Bytes Per Line
1002eabc	Pixels Per Line
1002eadc	Current Intent
1002eafc	Photometric Interpretation
1002eb34	Mirror
1002eb44	Media Type
1002eb5c	Format
1002eb6c	Bits Per Channel
1002eb90	Channels Per Pixel
1002ebb8	Bits Per Pixel
1002ebd8	Data Type
1002ebec	Threshold
1002ec00	Contrast
1002ec14	Brightness
1002ec2c	Vertical Extent
1002ec4c	Horizontal Extent
1002ec70	Vertical Start Position
1002eca0	Horizontal Start Position
1002ecd4	Vertical Resolution
1002ecfc	Horizontal Resolution
1002ed28	Filename extension
1002ed50	Minimum Vertical Scan Size
1002ed88	Minimum Horizontal Scan Size
1002edc4	Maximum Vertical Scan Size
1002edfc	Maximum Horizontal Scan Size
1002ee38	Segmentation
1002ee54	DeskewY
1002ee64	DeskewX
