entry	name	body
10001000	CICMFunction	[[10001000, 10001008]]
10001010	~CICMFunction	[[10001010, 10001016]]
10001020	CICMFunction	[[10001020, 1000102a]]
10001030	operator=	[[10001030, 10001034]]
10001040	FUN_10001040	[[10001040, 10001092]]
100010a0	FUN_100010a0	[[100010a0, 100010dd]]
100010e0	FUN_100010e0	[[100010e0, 10001136]]
10001140	FUN_10001140	[[10001140, 100011a4]]
100011b0	FUN_100011b0	[[100011b0, 1000122f]]
10001230	FUN_10001230	[[10001230, 100014c1]]
100014d0	FUN_100014d0	[[100014d0, 10001552]]
10001560	FUN_10001560	[[10001560, 100015f8]]
10001600	FUN_10001600	[[10001600, 10001660]]
10001670	FUN_10001670	[[10001670, 1000168d]]
10001690	FUN_10001690	[[10001690, 10001737] [10001740, 10001753]]
10001760	FUN_10001760	[[10001760, 100017e3]]
100017f0	FUN_100017f0	[[100017f0, 10001927]]
10001930	FUN_10001930	[[10001930, 10001a98]]
10001aa0	FUN_10001aa0	[[10001aa0, 10001bd8]]
10001be0	FUN_10001be0	[[10001be0, 10001d07]]
10001d10	FUN_10001d10	[[10001d10, 10001d9a]]
10001da0	CSImageEnhance	[[10001da0, 10001da8]]
10001db0	~CSImageEnhance	[[10001db0, 10001db6]]
10001dc0	CSImageEnhance	[[10001dc0, 10001dca]]
10001dd0	FUN_10001dd0	[[10001dd0, 10001e22]]
10001e30	CS_ImageEnhance	[[10001e30, 10001e3a]]
10001e40	FUN_10001e40	[[10001e40, 10001e59]]
10001e60	DeleteICMObj	[[10001e60, 10001e75]]
10001e80	CreateICMObj	[[10001e80, 10001eb1]]
10001ec0	CS_ImageEnhance	[[10001ec0, 10001ec8]]
10001ed0	FUN_10001ed0	[[10001ed0, 10001eec] [10001ef0, 10001f97]]
10001fa0	FUN_10001fa0	[[10001fa0, 10001ff8]]
10002000	CreateImgEnhObj	[[10002000, 1000202d]]
10002030	FUN_10002030	[[10002030, 10002109] [10002110, 100022c1]]
100022d0	Scale	[[100022d0, 100022ef]]
100022f0	FUN_100022f0	[[100022f0, 1000234a]]
10002350	FUN_10002350	[[10002350, 1000237c] [10002380, 10002462]]
10002470	FUN_10002470	[[10002470, 100024e1]]
100024f0	FUN_100024f0	[[100024f0, 10002568] [10002570, 100025f7] [10002600, 1000263c] [10002640, 100026ac] [100026b0, 100026df]]
100026e0	FUN_100026e0	[[100026e0, 100027dc] [100027e0, 100027fc] [10002800, 10002898]]
100028a0	FUN_100028a0	[[100028a0, 10002916] [10002920, 10002a5e]]
10002a60	FUN_10002a60	[[10002a60, 10002b86]]
10002b90	FUN_10002b90	[[10002b90, 10002cb8]]
10002cc0	FUN_10002cc0	[[10002cc0, 10002f12]]
10002f20	FUN_10002f20	[[10002f20, 10002f88] [10002f90, 10002fc8]]
10003010	FUN_10003010	[[10003010, 100031a4]]
100031a6	DeleteColorTransform	[[100031a6, 100031ab]]
100031ac	TranslateColors	[[100031ac, 100031b1]]
100031b2	GetColorDirectoryW	[[100031b2, 100031b7]]
100031b8	EnumColorProfilesW	[[100031b8, 100031bd]]
100031be	CloseColorProfile	[[100031be, 100031c3]]
100031c4	GetColorProfileHeader	[[100031c4, 100031c9]]
100031ca	OpenColorProfileW	[[100031ca, 100031cf]]
100031d0	IsColorProfileValid	[[100031d0, 100031d5]]
100031d6	CreateColorTransformW	[[100031d6, 100031db]]
100031e0	FUN_100031e0	[[100031e0, 100031e3]]
100031f0	FUN_100031f0	[[100031f0, 100031f3]]
10003200	FUN_10003200	[[10003200, 10003203]]
10003210	FUN_10003210	[[10003210, 10003213]]
