entry	name	body
10001000	FindScannerEx	[[10001000, 100014b7]]
100014c0	InitializeScanner	[[100014c0, 10001693]]
100016a0	TerminateScanner	[[100016a0, 1000175c]]
10001760	GetOPUMode	[[10001760, 10001889]]
10001890	GetScannerAbilitySize	[[10001890, 100018ec]]
100018f0	GetScannerAbilityXp	[[100018f0, 1000193b]]
10001940	GetLampStatus	[[10001940, 10001bb8]]
10001bc0	SetLamp	[[10001bc0, 10001f71]]
10001f80	SetScanParameter	[[10001f80, 10002308]]
10002310	DoCalibration	[[10002310, 10002a15]]
10002a30	StartScanEx	[[10002a30, 10002bcf]]
10002bd0	ReadScan	[[10002bd0, 10002c26]]
10002c30	FUN_10002c30	[[10002c30, 10002f2f]]
10002f30	StopScanEx	[[10002f30, 10003041]]
10003050	GetDataStatus	[[10003050, 100032c9]]
100032d0	GetScannerStatus	[[100032d0, 100032e8]]
100032f0	GetCalibrationStatus	[[100032f0, 1000333b] [1000333e, 1000338b]]
10003390	SetAGData	[[10003390, 100033ae]]
100033b0	GetAGData	[[100033b0, 1000348b]]
10003490	TestScanner	[[10003490, 100038e6]]
10003960	InitialButton	[[10003960, 10003986]]
10003990	ReadPushButton	[[10003990, 10003b00]]
10003b20	SetGamma	[[10003b20, 10003be2]]
10003c00	GetCanonAPIVersion	[[10003c00, 10003c14]]
10003c20	LockScanner	[[10003c20, 10003c2b]]
10003c30	UnlockScanner	[[10003c30, 10003c3b]]
10003c40	SetErrorToDevice	[[10003c40, 10003c4b]]
10003c50	GetCropStatus	[[10003c50, 10003c5b]]
10003c60	GetReadStatus	[[10003c60, 10003c6b]]
10003c70	FUN_10003c70	[[10003c70, 10004865]]
10004870	ReadRegister	[[10004870, 10004888]]
10004890	WriteRegister	[[10004890, 100048a8]]
100048b0	SetRawDataParameter	[[100048b0, 10004918]]
10004920	ReadRawData	[[10004920, 10004949]]
10004950	FUN_10004950	[[10004950, 10004971]]
10004980	FUN_10004980	[[10004980, 100049c5]]
100049d0	FUN_100049d0	[[100049d0, 10004a3b]]
10004a40	FUN_10004a40	[[10004a40, 10004e2b]]
10004e30	FUN_10004e30	[[10004e30, 10004f9c]]
10004fc0	FUN_10004fc0	[[10004fc0, 10005130]]
10005150	FUN_10005150	[[10005150, 1000516c]]
10005170	FUN_10005170	[[10005170, 1000519d]]
100051a0	FUN_100051a0	[[100051a0, 100053d7]]
100053e0	FUN_100053e0	[[100053e0, 100054bb]]
100054c0	FUN_100054c0	[[100054c0, 10005582]]
10005590	FUN_10005590	[[10005590, 10005714]]
10005720	FUN_10005720	[[10005720, 10005802]]
10005810	FUN_10005810	[[10005810, 100058b5]]
100058c0	FUN_100058c0	[[100058c0, 10005a03]]
10005a10	FUN_10005a10	[[10005a10, 10005b53]]
10005b60	FUN_10005b60	[[10005b60, 10005b6d]]
10005b70	FUN_10005b70	[[10005b70, 10005bd8]]
10005be0	FUN_10005be0	[[10005be0, 10005cbc]]
10005cc0	FUN_10005cc0	[[10005cc0, 10005d83]]
10005d90	FUN_10005d90	[[10005d90, 10005f57]]
10005f60	FUN_10005f60	[[10005f60, 10005f84]]
10005f90	FUN_10005f90	[[10005f90, 10006030]]
10006040	FUN_10006040	[[10006040, 1000608e]]
10006090	FUN_10006090	[[10006090, 100060c5]]
100060d0	FUN_100060d0	[[100060d0, 10006100]]
10006110	FUN_10006110	[[10006110, 1000616c]]
10006170	FUN_10006170	[[10006170, 100061a5]]
100061b0	FUN_100061b0	[[100061b0, 100063fb]]
10006400	FUN_10006400	[[10006400, 1000645d]]
10006460	FUN_10006460	[[10006460, 10006522]]
10006530	FUN_10006530	[[10006530, 1000656c]]
10006570	FUN_10006570	[[10006570, 100065a4]]
100065b0	FUN_100065b0	[[100065b0, 100065fe]]
10006600	FUN_10006600	[[10006600, 1000676c] [10006772, 100067dc] [100067e2, 10006809] [1000680f, 1000683d] [10006843, 10006870] [10006876, 10006c4b] [10006c51, 10006ce5] [10006ceb, 10006e14] [10006e1a, 10006e55] [10006e58, 10006eba] [10006ebd, 10006f95]]
10006fa0	FUN_10006fa0	[[10006fa0, 10007047]]
10007050	FUN_10007050	[[10007050, 1000705d]]
10007060	FUN_10007060	[[10007060, 1000706a]]
10007070	FUN_10007070	[[10007070, 100071c9]]
100071d0	FUN_100071d0	[[100071d0, 1000723b]]
10007240	FUN_10007240	[[10007240, 10007279]]
10007280	FUN_10007280	[[10007280, 100072a9]]
100072b0	FUN_100072b0	[[100072b0, 100074a1]]
100074b0	FUN_100074b0	[[100074b0, 1000757b] [1000757e, 100075b8]]
