address	value
10083210	CANON
10083218	IX-48085H
10083224	1.0.3.0
1008322c	CCD4800
10083240	_MUTEX_MPATTR_
10083250	_Scanner_Status_File_Mapping_SFS
10083274	Global\
1008327c	_Scanner_Status_File_Mapping_SFS
100832a0	DebugDLL_MUTEX
100832b0	debug.dll
100832bc	Debug_CreateFile
100832d0	Debug_MessageOut
100832e4	Debug_ReleaseFile
100832fc	DebugDLL_MUTEX
1008330c	DebugDLL_MUTEX
1008331c	DebugDLL_MUTEX
1008332c	debug.dll
10083338	Debug_DebugString
1008334c	DebugDLL_MUTEX
1008335c	DebugDLL_MUTEX
1008336c	DebugDLL_MUTEX
1008337c	debug.dll
10083388	Debug_ImageOut
10083398	DebugDLL_MUTEX
100833a8	debug.dll
100833b4	Debug_ImageAdd
100833c4	reg00h = 0x00
100833d4	Reg%02Xh = 0x%02x
100833e8	%d\t%d\t%d
10083400	%1.3f\t%1.3f\t%1.3f
10083418	Offset-R \t= %d
10083428	Offset-G \t= %d
10083438	Offset-B \t= %d
10083448	Gain-R \t\t= %d
10083458	Gain-G \t\t= %d
10083468	Gain-B \t\t= %d
10083478	Exp-R \t\t= %d
10083488	Exp-R \t\t= %d
10083498	Exp-R \t\t= %d
100834a8	judgeArea%d:value = %03d  BOOK\n
100834c8	judgeArea%d:value = %03d  FAU\n
100834ec	SOFTWARE\Canon\ScanGear\Devices\CNQ4808
10083514	CNQ4808W
1008352c	CNQ4808L.DLL
10083540	CNQ4808W
10083550	Global\%s
10083570	InstallDirectory
10083584	InstallDirectory
10083598	CNQ4808L.DLL
100835a8	CNQ4808N
100835b4	SOFTWARE\Canon\ScanGear\Devices\CNQ4808
100835dc	CNQ4808L.DLL
100835ec	CNQ4808N
100835f8	SOFTWARE\Canon\ScanGear\Devices\CNQ4808
10083620	CNQ4808L.DLL
10083630	CNQ4808N
1008363c	SOFTWARE\Canon\ScanGear\Devices\CNQ4808
10083750	FAU.txt
1008375c	 ,=\t\r\n
10083764	 ,=\t\r\n
1008376c	FAUScanPosition
1008377c	* End Of File *
10083808	CNQ4808N.SHD
10083827	@bad allocation
10083838	CNQ4808C.SHD
10083848	CNQ4808B.SHD
10083858	CNQ4808C.SHD
10083868	CNQ4808D.SHD
10083878	CNQ4808E.SHD
10083888	CNQ4808F.SHD
10083898	CNQ4808G.SHD
100838a8	Unknown.shd
100838b4	CNQ4808I.SHD
100838c4	CNQ4808J.SHD
100838d4	CNQ4808K.SHD
100838e4	CNQ4808L.SHD
100838f4	CNQ4808M.SHD
10083904	Unknown.shd
10083910	CNQ4808H.SHD
10083934	CNQ4808N.SHD
10083980	CNQ4802I.dat
1008399c	\n%d %d\n
100839a8	Open error.\n
100839c8	SHORT
100839d8	RATIONAL
100839e4	SBYTE
100839ec	UNDEFINED
100839f8	SSHORT
10083a00	SLONG
10083a08	SRATIONAL
10083a14	FLOAT
10083a1c	DOUBLE
10083a28	Open error.\n
10083a38	memory error[%d].\n
10083a4c	memory error[%d].\n
10083a68	VendorName  %s\n
10083a78	ModelName   %s\n
10083a88	FirmVersion %s\n
10083a98	SensorName  %s\n
10083aa8	PortType    %d\n
10083ac4	CCD_WLED1
10083ad0	CCD_WLED2
10083adc	Error
10083ae4	SensorType      %d [%s]\n
10083b00	SupportPortType %02x\n
10083b18	SupportMethod   %02x\n
10083b34	Support MultiTG           %ld\n
10083b54	Support SilentMode        %ld\n
10083b74	Support PowerSavingMode   %ld\n
10083b94	Support ContinuasScan     %ld\n
10083bb4	Support ManualCalibration %ld\n
10083bd4	Support Diagonastic       %ld\n
10083bf4	Support FrameSelect       %ld\n
10083c14	Support CalibrationArea       %ld\n
10083c38	Support CarriageLock       %ld\n
10083c5c	MaxWaitTime_Calibration %d\n
10083c78	MaxWaitTime_Warmup      %d\n
10083c98	MaximumResolution %d\n
10083cb0	OpticalResolution %d\n
10083cc8	ConversionResolution %d\n
10083ce4	Flatbed\n
10083cf0	Preview area %ld %ld %ld %ld\n
10083d10	Preview Res %d %d \n
10083d24	res %d %d \n
10083d30	ColorToGray %d \n
10083d44	Rotation %d \n
10083d54	Reserved[0] %d \n
10083d68	pFlatbed_Ex\n
10083d78	Preview area %d %d %d %d\n
10083d94	Preview Res %d %d \n
10083da8	res %d %d \n
10083db4	ColorToGray %d \n
10083dc8	Rotation %d \n
10083dd8	Reserved[0] %d \n
10083dec	pTPU_RGB\n
10083df8	Preview area %ld %ld %ld %ld\n
10083e18	Preview Res %d %d \n
10083e2c	res %d %d \n
10083e38	ColorToGray %d \n
10083e4c	Rotation %d \n
10083e5c	Reserved[0] %d \n
10083e70	pTPU_IR\n
10083e7c	Preview area %ld %ld %ld %ld\n
10083e9c	Preview Res %d %d \n
10083eb0	res %d %d \n
10083ebc	ColorToGray %d \n
10083ed0	Rotation %d \n
10083ee0	Reserved[0] %d \n
10083ef4	pADF\n
10083efc	Preview area %ld %ld %ld %ld\n
10083f1c	Preview Res %d %d \n
10083f30	res %d %d \n
10083f3c	ColorToGray %d \n
10083f50	Rotation %d \n
10083f60	Reserved[0] %d \n
10083f74	pADF_W\n
10083f7c	Preview area %ld %ld %ld %ld\n
10083f9c	Preview Res %d %d \n
10083fb0	res %d %d \n
10083fbc	ColorToGray %d \n
10083fd0	Rotation %d \n
10083fe0	Reserved[0] %d \n
10083ff4	Sleeve135\n
10084000	[%d] %ld %ld %ld %ld\n
10084018	SizeNumber %d \n
10084028	Rotation %d \n
10084038	Mount\n
10084040	[%d] %ld %ld %ld %ld\n
10084058	SizeNumber %d \n
10084068	Rotation %d \n
10084078	Sleeve120\n
10084084	[%d] %ld %ld %ld %ld\n
1008409c	SizeNumber %d \n
100840ac	Rotation %d \n
100840bc	Large\n
100840c4	[%d] %ld %ld %ld %ld\n
100840dc	SizeNumber %d \n
100840ec	Rotation %d \n
100840fc	# %Y/%m/%d\n
1008410c	scannerabilityxp.dat
10084128	#######################################################################\n
10084174	#CanoScan \n
10084180	#ScannerAbilityXp\n
10084198	#######################################################################\n
100841e8	ScannerAbilityXp.VendorName                   =\t%s\n
1008421c	ScannerAbilityXp.ModelName                    =\t%s\n
10084250	ScannerAbilityXp.FirmwareVersion              =\t%s\n
10084284	ScannerAbilityXp.SensorName                   =\t%s\n
100842b8	#ScannerAbilityXp.PortType\n
100842d8	ScannerAbilityXp.SensorType                   =\t%d\n
1008430c	ScannerAbilityXp.SupportPortType              =\t0x%02X\n
10084344	ScannerAbilityXp.SupportMethod                =\t0x%02X\n
10084380	ScannerAbilityXp.pSupport->MultiTG\t\t      =\t%ld\n
100843b4	ScannerAbilityXp.pSupport->SilentMode         =\t%ld\n
100843ec	ScannerAbilityXp.pSupport->PowerSavingMode    =\t%ld\n
10084424	ScannerAbilityXp.pSupport->ContinuasScan      =\t%ld\n
1008445c	ScannerAbilityXp.pSupport->ManualCalibration  =\t%ld\n
10084494	ScannerAbilityXp.pSupport->Diagonastic        =\t%ld\n
100844cc	ScannerAbilityXp.pSupport->FrameSelect        =\t%ld\n
10084504	ScannerAbilityXp.pSupport->CalibrationArea    =\t%ld\n
1008453c	ScannerAbilityXp.pSupport->CarriageLock    =\t%ld\n
10084574	ScannerAbilityXp.MaxWaitTime_Calibration      =\t0x%04X\n
100845ac	ScannerAbilityXp.MaxWaitTime_Warmup           =\t0x%04X\n
100845e8	ScannerAbilityXp.MaximumResNumber             =\t%d\n
1008461c	ScannerAbilityXp.pResolutionList[%d].xRes       =\t%d\n
10084654	ScannerAbilityXp.pResolutionList[%d].yRes       =\t%d\n
10084690	ScannerAbilityXp.OpticalResolution             =\t%d\n
100846c8	ScannerAbilityXp.MaximumResolution             =\t%d\n
10084700	ScannerAbilityXp.ConversionResolution          =\t%d\n
1008473c	ScannerAbilityXp.pFlatbed                =\tNULL\n
10084770	ScannerAbilityXp.pFlatbed->ScanningArea.x       =\t%ld\n
100847a8	ScannerAbilityXp.pFlatbed->ScanningArea.y       =\t%ld\n
100847e0	ScannerAbilityXp.pFlatbed->ScanningArea.width   =\t%ld\n
10084818	ScannerAbilityXp.pFlatbed->ScanningArea.length  =\t%ld\n
10084850	ScannerAbilityXp.pFlatbed->PreviewRes           =\t%d\n
10084888	ScannerAbilityXp.pFlatbed->MaximumRes           =\t%d\n
100848c0	ScannerAbilityXp.pFlatbed->MinimumRes           =\t%d\n
100848f8	ScannerAbilityXp.pFlatbed->ReadingReference     =\t%d\n
10084930	ScannerAbilityXp.pFlatbed->BitsPerChannel       =\t0x%02X\n
1008496c	ScannerAbilityXp.pFlatbed->ColorToGray\t\t\t=\t%d\n
1008499c	ScannerAbilityXp.pFlatbed->Rotation\t\t\t=\t%d\n
100849c8	ScannerAbilityXp.pFlatbed->Reserved[0]\t\t\t=\t%d\n
100849fc	ScannerAbilityXp.pFlatbed_Ex                =\tNULL\n
10084a30	ScannerAbilityXp.pFlatbed_Ex->ScanningArea.x       =\t%d\n
10084a6c	ScannerAbilityXp.pFlatbed_Ex->ScanningArea.y       =\t%d\n
10084aa8	ScannerAbilityXp.pFlatbed_Ex->ScanningArea.width   =\t%d\n
10084ae4	ScannerAbilityXp.pFlatbed_Ex->ScanningArea.length  =\t%d\n
10084b20	ScannerAbilityXp.pFlatbed_Ex->PreviewRes           =\t%d\n
10084b5c	ScannerAbilityXp.pFlatbed_Ex->MaximumRes           =\t%d\n
10084b98	ScannerAbilityXp.pFlatbed_Ex->MinimumRes           =\t%d\n
10084bd4	ScannerAbilityXp.pFlatbed_Ex->ReadingReference     =\t%d\n
10084c10	ScannerAbilityXp.pFlatbed_Ex->BitsPerChannel       =\t0x%02X\n
10084c50	ScannerAbilityXp.pFlatbed_Ex->ColorToGray\t\t\t=\t%d\n
10084c84	ScannerAbilityXp.pFlatbed_Ex->Rotation\t\t\t=\t%d\n
10084cb4	ScannerAbilityXp.pFlatbed_Ex->Reserved[0]\t\t\t=\t%d\n
10084cec	ScannerAbilityXp.pTPU_RGB                       =\tNULL\n
10084d24	ScannerAbilityXp.pTPU_RGB->ScanningArea.x       =\t%ld\n
10084d5c	ScannerAbilityXp.pTPU_RGB->ScanningArea.y       =\t%ld\n
10084d94	ScannerAbilityXp.pTPU_RGB->ScanningArea.width   =\t%ld\n
10084dcc	ScannerAbilityXp.pTPU_RGB->ScanningArea.length  =\t%ld\n
10084e04	ScannerAbilityXp.pTPU_RGB->PreviewRes           =\t%d\n
10084e3c	ScannerAbilityXp.pTPU_RGB->MaximumRes           =\t%d\n
10084e74	ScannerAbilityXp.pTPU_RGB->MinimumRes           =\t%d\n
10084eac	ScannerAbilityXp.pTPU_RGB->ReadingReference     =\t%d\n
10084ee4	ScannerAbilityXp.pTPU_RGB->BitsPerChannel       =\t0x%02X\n
10084f20	ScannerAbilityXp.pTPU_RGB->ColorToGray\t\t\t=\t%d\n
10084f50	ScannerAbilityXp.pTPU_RGB->Rotation\t\t\t=\t%d\n
10084f7c	ScannerAbilityXp.pTPU_RGB->Reserved[0]\t\t\t=\t%d\n
10084fb0	ScannerAbilityXp.pTPU_IR\t\t\t\t\t\t=\tNULL\n
10084fd8	ScannerAbilityXp.pTPU_IR->ScanningArea.x        =\t%ld\n
10085010	ScannerAbilityXp.pTPU_IR->ScanningArea.y        =\t%ld\n
10085048	ScannerAbilityXp.pTPU_IR->ScanningArea.width    =\t%ld\n
10085080	ScannerAbilityXp.pTPU_IR->ScanningArea.length   =\t%ld\n
100850b8	ScannerAbilityXp.pTPU_IR->PreviewRes            =\t%d\n
100850f0	ScannerAbilityXp.pTPU_IR->MaximumRes            =\t%d\n
10085128	ScannerAbilityXp.pTPU_IR->MinimumRes            =\t%d\n
10085160	ScannerAbilityXp.pTPU_IR->ReadingReference      =\t%d\n
10085198	ScannerAbilityXp.pTPU_IR->BitsPerChannel        =\t0x%02X\n
100851d4	ScannerAbilityXp.pTPU_IR->ColorToGray\t\t\t=\t%d\n
10085204	ScannerAbilityXp.pTPU_IR->Rotation\t\t\t=\t%d\n
10085230	ScannerAbilityXp.pTPU_IR->Reserved[0]\t\t\t=\t%d\n
10085264	ScannerAbilityXp.pADF                           =\tNULL\n
1008529c	ScannerAbilityXp.pADF->ScanningArea.x           =\t%ld\n
100852d4	ScannerAbilityXp.pADF->ScanningArea.y           =\t%ld\n
1008530c	ScannerAbilityXp.pADF->ScanningArea.width       =\t%ld\n
10085344	ScannerAbilityXp.pADF->ScanningArea.length      =\t%ld\n
1008537c	ScannerAbilityXp.pADF->PreviewRes               =\t%d\n
100853b4	ScannerAbilityXp.pADF->MaximumRes               =\t%d\n
100853ec	ScannerAbilityXp.pADF->MinimumRes               =\t%d\n
10085424	ScannerAbilityXp.pADF->ReadingReference         =\t%d\n
1008545c	ScannerAbilityXp.pADF->BitsPerChannel           =\t0x%02X\n
10085498	ScannerAbilityXp.pADF->ColorToGray\t\t\t=\t%d\n
100854c4	ScannerAbilityXp.pADF->Rotation\t\t\t=\t%d\n
100854ec	ScannerAbilityXp.pADF->Reserved[0]\t\t\t=\t%d\n
1008551c	ScannerAbilityXp.pADF_W                           =\tNULL\n
10085558	ScannerAbilityXp.pADF_W->ScanningArea.x           =\t%ld\n
10085594	ScannerAbilityXp.pADF_W->ScanningArea.y           =\t%ld\n
100855d0	ScannerAbilityXp.pADF_W->ScanningArea.width       =\t%ld\n
1008560c	ScannerAbilityXp.pADF_W->ScanningArea.length      =\t%ld\n
10085648	ScannerAbilityXp.pADF_W->PreviewRes               =\t%d\n
10085680	ScannerAbilityXp.pADF_W->MaximumRes               =\t%d\n
100856b8	ScannerAbilityXp.pADF_W->MinimumRes               =\t%d\n
100856f0	ScannerAbilityXp.pADF_W->ReadingReference         =\t%d\n
10085728	ScannerAbilityXp.pADF_W->BitsPerChannel           =\t0x%02X\n
10085764	ScannerAbilityXp.pADF_W->ColorToGray\t\t\t=\t%d\n
10085794	ScannerAbilityXp.pADF_W->Rotation\t\t\t=\t%d\n
100857c0	ScannerAbilityXp.pADF_W->Reserved[0]\t\t\t=\t%d\n
100857f4	ScannerAbilityXp.Sleeve135.FrameNumber          =\t%d\n
1008582c	ScannerAbilityXp.Sleeve135.pFrameList           =\tNULL\n
10085864	ScannerAbilityXp.Sleeve135.pFrameList[%d].x      =\t%ld\n
1008589c	ScannerAbilityXp.Sleeve135.pFrameList[%d].y      =\t%ld\n
100858d4	ScannerAbilityXp.Sleeve135.pFrameList[%d].width  =\t%ld\n
1008590c	ScannerAbilityXp.Sleeve135.pFrameList[%d].length =\t%ld\n
10085944	ScannerAbilityXp.Sleeve135.SizeNumber\t\t   =\t%d\n
10085974	ScannerAbilityXp.Sleeve135.Rotation\t\t\t\t=\t%d\n
100859a8	ScannerAbilityXp.Mount.FrameNumber              =\t%d\n
100859e0	ScannerAbilityXp.Mount.pFrameList                =\tNULL\n
10085a1c	ScannerAbilityXp.Mount.pFrameList[%d].x          =\t%ld\n
10085a54	ScannerAbilityXp.Mount.pFrameList[%d].y          =\t%ld\n
10085a8c	ScannerAbilityXp.Mount.pFrameList[%d].width      =\t%ld\n
10085ac4	ScannerAbilityXp.Mount.pFrameList[%d].length     =\t%ld\n
10085afc	ScannerAbilityXp.Mount.SizeNumber\t\t   =\t%d\n
10085b28	ScannerAbilityXp.Mount.Rotation\t\t\t\t=\t%d\n
10085b58	ScannerAbilityXp.Sleeve120.FrameNumber           =\t%d\n
10085b90	ScannerAbilityXp.Sleeve120.pFrameList            =\tNULL\n
10085bcc	ScannerAbilityXp.Sleeve120.pFrameList[%d].x      =\t%ld\n
10085c04	ScannerAbilityXp.Sleeve120.pFrameList[%d].y      =\t%ld\n
10085c3c	ScannerAbilityXp.Sleeve120.pFrameList[%d].width  =\t%ld\n
10085c74	ScannerAbilityXp.Sleeve120.pFrameList[%d].length =\t%ld\n
10085cac	ScannerAbilityXp.Sleeve120.SizeNumber\t\t   =\t%d\n
10085cdc	ScannerAbilityXp.Sleeve120.Rotation\t\t\t\t=\t%d\n
10085d10	ScannerAbilityXp.Large.FrameNumber               =\t%d\n
10085d48	ScannerAbilityXp.Large.pFrameList                =\tNULL\n
10085d84	ScannerAbilityXp.Large.pFrameList[%d].x          =\t%ld\n
10085dbc	ScannerAbilityXp.Large.pFrameList[%d].y          =\t%ld\n
10085df4	ScannerAbilityXp.Large.pFrameList[%d].width\t\t =\t%ld\n
10085e2c	ScannerAbilityXp.Large.pFrameList[%d].length     =\t%ld\n
10085e64	ScannerAbilityXp.Large.SizeNumber\t\t   =\t%d\n
10085e90	ScannerAbilityXp.Large.Rotation\t\t\t\t=\t%d\n
10085f20	CNQ4808L.DLL
10085f30	PhuketLLD.txt
10085f44	IniReadScannerSetting()
10085f5c	Failed to open Ini-file.
10085f78	IniReadScannerSetting()
10085f90	SHADING_LINENUM_FOR_DARKSHADING section is none.
10085fc4	SHADING_LINENUM_FOR_DARKSHADING
10085fe4	IniReadScannerSetting()
10085ffc	SHADING_LINENUM_FOR_DARKSHADING section is none.
10086030	IniReadScannerSetting()
10086048	SHADING_LINENUM_FOR_WHITESHADING section is none.
1008607c	SHADING_LINENUM_FOR_WHITESHADING
100860a0	IniReadScannerSetting()
100860b8	SHADING_LINENUM_FOR_WHITESHADING section is none.
100860ec	IniReadScannerSetting()
10086104	SHADING_LINENUM_FOR_GRAYSHADING section is none.
10086138	SHADING_LINENUM_FOR_GRAYSHADING
10086158	IniReadScannerSetting()
10086170	SHADING_LINENUM_FOR_GRAYSHADING section is none.
100861a4	IniReadScannerSetting()
100861bc	DARK_UPPERLINE_CUT section is none.
100861e0	DARK_UPPERLINE_CUT
100861f4	IniReadScannerSetting()
1008620c	DARK_UPPERLINE_CUT section is none.
10086230	IniReadScannerSetting()
10086248	DARK_LOWERLINE_CUT section is none.
1008626c	DARK_LOWERLINE_CUT
10086280	IniReadScannerSetting()
10086298	DARK_LOWERLINE_CUT section is none.
100862bc	IniReadScannerSetting()
100862d4	WHITE_UPPERLINE_CUT section is none.
100862fc	WHITE_UPPERLINE_CUT
10086310	IniReadScannerSetting()
10086328	WHITE_UPPERLINE_CUT section is none.
10086350	IniReadScannerSetting()
10086368	WHITE_LOWERLINE_CUT section is none.
10086390	WHITE_LOWERLINE_CUT
100863a4	IniReadScannerSetting()
100863bc	WHITE_LOWERLINE_CUT section is none.
100863e4	IniReadScannerSetting()
100863fc	GRAY_UPPERLINE_CUT section is none.
10086420	GRAY_UPPERLINE_CUT
10086434	IniReadScannerSetting()
1008644c	GRAY_UPPERLINE_CUT section is none.
10086470	IniReadScannerSetting()
10086488	GRAY_LOWERLINE_CUT section is none.
100864ac	GRAY_LOWERLINE_CUT
100864c0	IniReadScannerSetting()
100864d8	GRAY_LOWERLINE_CUT section is none.
100864fc	IniReadScannerSetting()
10086514	GRAY_DENSITY_RATE section is none.
10086538	GRAY_DENSITY_RATE
1008654c	IniReadScannerSetting()
10086564	GRAY_DENSITY_RATE section is none.
10086588	IniReadScannerSetting()
100865a0	DENSITY_CORRECT_ALPHA section is none.
100865c8	DENSITY_CORRECT_ALPHA
100865e0	IniReadScannerSetting()
100865f8	DENSITY_CORRECT_ALPHA section is none.
10086620	IniReadScannerSetting()
10086638	DENSITY_CORRECT_MAX_X section is none.
10086660	DENSITY_CORRECT_MAX_X
10086678	IniReadScannerSetting()
10086690	DENSITY_CORRECT_MAX_X section is none.
100866b8	IniReadScannerSetting()
100866d0	DENSITY_CORRECT_MAX_Y section is none.
100866f8	DENSITY_CORRECT_MAX_Y
10086710	IniReadScannerSetting()
10086728	DENSITY_CORRECT_MAX_Y section is none.
10086750	IniReadScannerSetting()
10086768	DENSITY_CORRECT_MIN_X section is none.
10086790	DENSITY_CORRECT_MIN_X
100867a8	IniReadScannerSetting()
100867c0	DENSITY_CORRECT_MIN_X section is none.
100867e8	IniReadScannerSetting()
10086800	DENSITY_CORRECT_MIN_Y section is none.
10086828	DENSITY_CORRECT_MIN_Y
10086840	IniReadScannerSetting()
10086858	DENSITY_CORRECT_MIN_Y section is none.
10086880	IniReadScannerSetting()
10086898	RATCH_TABLE section is none.
100868b8	RATCH_TABLE
100868c4	IniReadScannerSetting()
100868dc	RATCH_TABLE section is none.
100868fc	IniReadScannerSetting()
10086914	VSMP_TABLE section is none.
10086930	VSMP_TABLE
1008693c	IniReadScannerSetting()
10086954	VSMP_TABLE section is none.
10086970	IniReadScannerSetting()
10086988	BSMP_TABLE section is none.
100869a4	BSMP_TABLE
100869b0	IniReadScannerSetting()
100869c8	BSMP_TABLE section is none.
100869e4	MOTOR_TABLE%02d
100869f4	IniReadScannerSetting()
10086a0c	MOTOR_TABLE section is none.
10086a2c	IniReadScannerSetting()
10086a44	MOTOR_TABLE section is none.
10086a64	IniReadScannerSetting()
10086a7c	MOTOR_TABLE_NUMBER section is none.
10086aa0	MOTOR_TABLE_NUMBER
10086ab4	IniReadScannerSetting()
10086acc	MOTOR_TABLE_NUMBER section is none.
10086af0	IniReadScannerSetting()
10086b08	MOTOR_TABLE_NUMBER_FAU section is none.
10086b30	MOTOR_TABLE_NUMBER_FAU
10086b48	IniReadScannerSetting()
10086b60	MOTOR_TABLE_NUMBER_FAU section is none.
10086b88	IniReadScannerSetting()
10086ba0	MOTOR_TABLE_NUMBER_MOVE section is none.
10086bcc	MOTOR_TABLE_NUMBER_MOVE
10086be4	IniReadScannerSetting()
10086bfc	MOTOR_TABLE_NUMBER_MOVE section is none.
10086c28	IniReadScannerSetting()
10086c40	MOTOR_DECSEL section is none.
10086c60	MOTOR_DECSEL
