address	value
1001e4b0	CInvalidArgException
1001e4c8	CNotSupportedException
1001e4e0	CMemoryException
1001e4f4	CException
1001e5c4	COleException
1001e60c	DISPLAY
1001e62c	DeactivateActCtx
1001e640	ActivateActCtx
1001e650	ReleaseActCtx
1001e660	CreateActCtxW
1001e670	KERNEL32
1001e6a4	comctl32.dll
1001e6bc	comdlg32.dll
1001e700	NotifyWinEvent
1001e710	user32.dll
1001e71c	CObject
1001e724	Delete
1001e72c	NoRemove
1001e738	ForceRemove
1001e794	%s (%s:%d)
1001e7a0	%s (%s:%d)\n%s
1001e7b0	Exception thrown in destructor
1001e7d0	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\auxdata.cpp
1001e808	CArchiveException
1001e854	CMapPtrToPtr
1001e890	CCmdTarget
1001e9a4	AfxWnd80s
1001e9b0	AfxControlBar80s
1001e9c4	AfxMDIFrame80s
1001e9d4	AfxFrameOrView80s
1001e9e8	AfxOleControl80s
1001e9fc	AfxOldWndProc423
1001ea34	EnumDisplayDevicesA
1001ea48	GetMonitorInfoA
1001ea58	EnumDisplayMonitors
1001ea6c	MonitorFromPoint
1001ea80	MonitorFromRect
1001ea90	MonitorFromWindow
1001eaa4	GetSystemMetrics
1001eab8	USER32
1001eac0	accParent
1001ead4	accChildCount
1001eaf0	accChild
1001eb04	accName
1001eb14	accValue
1001eb28	accDescription
1001eb48	accRole
1001eb58	accState
1001eb6c	accHelp
1001eb7c	accHelpTopic
1001eb98	accKeyboardShortcut
1001ebc0	accFocus
1001ebd4	accSelection
1001ebf0	accDefaultAction
1001ec14	accSelect
1001ec28	accLocation
1001ec40	accNavigate
1001ec58	accHitTest
1001ec70	accDoDefaultAction
1001ee9c	InitCommonControls
1001eeb0	InitCommonControlsEx
1001eec8	HtmlHelpA
1001eed4	hhctrl.ocx
1001efe4	#32768
1001eff0	f:\sp\vctools\vc7libs\ship\atlmfc\include\afxwin2.inl
1001f300	commctrl_DragListMsg
1001f318	CGdiObject
1001f328	CUserException
1001f338	CResourceException
1001f484	f:\sp\vctools\vc7libs\ship\atlmfc\include\afxwin1.inl
1001f4bc	CByteArray
1001f4d8	CMenu
1001f514	kernel32.dll
1001f557	Fbad allocation
1001f5a0	CorExitProcess
1001f5b0	mscoree.dll
1001f5bc	runtime error 
1001f5d0	TLOSS error\r\n
1001f5e0	SING error\r\n
1001f5f0	DOMAIN error\r\n
1001f600	R6034\r\nAn application has made an attempt to load the C runtime library incorrectly.\nPlease contact the application's support team for more information.\r\n
1001f6a0	R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
1001f798	R6032\r\n- not enough space for locale information\r\n
1001f7d0	R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
1001f834	R6030\r\n- CRT not initialized\r\n
1001f854	R6028\r\n- unable to initialize heap\r\n
1001f87c	R6027\r\n- not enough space for lowio initialization\r\n
1001f8b4	R6026\r\n- not enough space for stdio initialization\r\n
1001f8ec	R6025\r\n- pure virtual function call\r\n
1001f914	R6024\r\n- not enough space for _onexit/atexit table\r\n
1001f94c	R6019\r\n- unable to open console device\r\n
1001f978	R6018\r\n- unexpected heap error\r\n
1001f99c	R6017\r\n- unexpected multithread lock error\r\n
1001f9cc	R6016\r\n- not enough space for thread data\r\n
1001f9f8	\r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application's support team for more information.\r\n
1001fa90	R6009\r\n- not enough space for environment\r\n
1001fabc	R6008\r\n- not enough space for arguments\r\n
1001fae8	R6002\r\n- floating point support not loaded\r\n
1001fb18	Microsoft Visual C++ Runtime Library
1001fb48	<program name unknown>
1001fb60	Runtime Error!\n\nProgram: 
1001fc0c	.mixcrt
1001fc14	EncodePointer
1001fc24	KERNEL32.DLL
1001fc34	DecodePointer
1001fc44	FlsFree
1001fc4c	FlsSetValue
1001fc58	FlsGetValue
1001fc64	FlsAlloc
1001fc84	bad exception
1001fc94	(null)
1001fca4	(null)
1001fd6c	e+000
1001fd86	GAIsProcessorFeaturePresent
1001fda4	InitializeCriticalSectionAndSpinCount
1001fdcc	SunMonTueWedThuFriSat
1001fde4	JanFebMarAprMayJunJulAugSepOctNovDec
1001fe0c	GetProcessWindowStation
1001fe24	GetUserObjectInformationA
1001fe40	GetLastActivePopup
1001fe54	GetActiveWindow
1001fe64	MessageBoxA
1001fe70	USER32.DLL
10020688	HH:mm:ss
10020694	dddd, MMMM dd, yyyy
100206a8	MM/dd/yy
100206bc	December
100206c8	November
100206d4	October
100206dc	September
100206e8	August
10020700	April
10020708	March
10020710	February
1002071c	January
10020754	Saturday
10020760	Friday
10020768	Thursday
10020774	Wednesday
10020780	Tuesday
10020788	Monday
10020790	Sunday
100207b4	 Complete Object Locator'
100207d0	 Class Hierarchy Descriptor'
100207f0	 Base Class Array'
10020804	 Base Class Descriptor at (
10020820	 Type Descriptor'
10020834	`local static thread guard'
10020850	`managed vector copy constructor iterator'
1002087c	`vector vbase copy constructor iterator'
100208a8	`vector copy constructor iterator'
100208cc	`dynamic atexit destructor for '
100208f0	`dynamic initializer for '
1002090c	`eh vector vbase copy constructor iterator'
