address	value
100101e0	IX-24135H       
100101f4	IX-48075H       
10010208	IX-48085H       
1001021c	MP240 series    
10010230	MP260 series    
10010244	MP480 series    
10010258	MP540 series    
1001026c	MP620 series    
10010280	MP620N series    
10010294	MP630 series    
100102a8	MP980 series    
100102bc	MP980N series    
100102e0	STISVC.EXE
100102ec	CNBJNPSCAN
100102fc	SimulationMode
1001030c	PushButtonPushed16
10010320	PushButtonPushed15
10010334	PushButtonPushed14
10010348	PushButtonPushed13
1001035c	PushButtonPushed12
10010370	PushButtonPushed11
10010384	PushButtonPushed10
10010398	PushButtonPushed9
100103ac	PushButtonPushed8
100103c0	PushButtonPushed7
100103d4	PushButtonPushed6
100103e8	PushButtonPushed5
100103fc	PushButtonPushed4
10010410	PushButtonPushed3
10010424	PushButtonPushed2
10010438	PushButtonPushed1
1001044c	Events
10010454	\USDRESUS.DLL
10010464	\USDRESID.DLL
10010474	\USDRESAR.DLL
10010484	\USDRESTH.DLL
10010494	\USDRESTR.DLL
100104a4	\USDRESSE.DLL
100104b4	\USDRESNO.DLL
100104c4	\USDRESGR.DLL
100104d4	\USDRESFI.DLL
100104e4	\USDRESDK.DLL
100104f4	\USDRESJP.DLL
10010504	\USDRESKR.DLL
10010514	\USDRESCZ.DLL
10010524	\USDRESHU.DLL
10010534	\USDRESRU.DLL
10010544	\USDRESPL.DLL
10010554	\USDRESNL.DLL
10010564	\USDRESPT.DLL
10010574	\USDRESES.DLL
10010584	\USDRESIT.DLL
10010594	\USDRESDE.DLL
100105a4	\USDRESFR.DLL
100105b4	\USDRESTC.DLL
100105c4	\USDRESSC.DLL
100105d4	Language
100105e0	LangID
100105e8	\_SETSCN_.INI
100105f8	IDPushButton16
10010608	IDPushButton15
10010618	IDPushButton14
10010628	IDPushButton13
10010638	IDPushButton12
10010648	IDPushButton11
10010658	IDPushButton10
10010668	IDPushButton9
10010678	IDPushButton8
10010688	IDPushButton7
10010698	IDPushButton6
100106a8	IDPushButton5
100106b8	IDPushButton4
100106c8	IDPushButton3
100106d8	IDPushButton2
100106e8	IDPushButton1
100106f8	InstallDirectory
1001070c	DeviceData
100108f4	GetReadStatus
10010904	GetCropStatus
10010914	SetErrorToDevice
10010928	UnlockScanner
10010938	LockScanner
10010944	GetLampStatus
10010954	GetOPUMode
10010960	GetCanonAPIVersionXP
10010978	SetGamma
10010984	SetLamp
1001098c	GetScannerAbilityXp
100109a0	GetScannerAbilitySize
100109b8	TerminateScanner
100109cc	StopScanEx
100109d8	StartScanEx
100109e4	GetCarriagePosition
100109f8	GetCalibrationStatus
10010a10	DoCalibration
10010a20	ReadPushButton
10010a30	InitialButton
10010a40	ReadScan
10010a4c	GetAGData
10010a58	SetAGData
10010a64	SetScanParameter
10010a78	GetScannerStatus
10010a8c	GetDataStatus
10010a9c	TestScanner
10010aa8	InitializeScanner
10010abc	FindScannerEx
10010acc	PushEventImageSource
10010ae4	PushEventScanType
10010af8	PushEventButtonType
10010b0c	\ABILITY.BIN
10010b1c	STIUSDObject
10010b2c	IX-24135H       
10010b40	IX-48075H       
10010b54	IX-48085H       
10010b68	MP240 series    
10010b7c	MP260 series    
10010b90	MP480 series    
10010ba4	MP540 series    
10010bb8	MP620 series    
10010bcc	MP620N series    
10010be0	MP630 series    
10010bf4	MP980 series    
10010c08	MP980N series    
10010c2c	IX-24135H
10010c38	Global\L100 Mutex
10010c5c	IX-48075H
10010c68	Global\L200 Mutex
10010c8c	IX-48085H
10010c98	Global\5600F series Mutex
10010cc4	MP240 series
10010cd4	Global\MP240 series Mutex
10010d00	MP260 series
10010d10	Global\MP260 series Mutex
10010d3c	MP480 series
10010d4c	Global\MP480 series Mutex
10010d78	MP540 series
10010d88	Global\MP540 series Mutex
10010db4	MP620 series
10010dc4	Global\MP620 series Mutex
10010df0	MP620N series
10010e00	Global\MP620N series Mutex
10010e2c	MP630 series
10010e3c	Global\MP630 series Mutex
10010e68	MP980 series
10010e78	Global\MP980 series Mutex
10010ea4	MP980N series
10010eb4	Global\MP980N series Mutex
10011250	IX-24135H       
10011264	IX-48075H       
10011278	IX-48085H       
1001128c	MP240 series    
100112a0	MP260 series    
100112b4	MP480 series    
100112c8	MP540 series    
100112dc	MP620 series    
100112f0	MP620N series    
10011304	MP630 series    
10011318	MP980 series    
1001132c	MP980N series    
10011358	IX-24135H       
1001136c	IX-48075H       
10011380	IX-48085H       
10011394	MP240 series    
100113a8	MP260 series    
100113bc	MP480 series    
100113d0	MP540 series    
100113e4	MP620 series    
100113f8	MP620N series    
1001140c	MP630 series    
10011420	MP980 series    
10011434	MP980N series    
100114a3	Fbad allocation
100114cc	runtime error 
100114e0	TLOSS error\r\n
100114f0	SING error\r\n
10011500	DOMAIN error\r\n
10011510	R6034\r\nAn application has made an attempt to load the C runtime library incorrectly.\nPlease contact the application's support team for more information.\r\n
100115b0	R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
100116a8	R6032\r\n- not enough space for locale information\r\n
100116e0	R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
10011744	R6030\r\n- CRT not initialized\r\n
10011764	R6028\r\n- unable to initialize heap\r\n
1001178c	R6027\r\n- not enough space for lowio initialization\r\n
100117c4	R6026\r\n- not enough space for stdio initialization\r\n
100117fc	R6025\r\n- pure virtual function call\r\n
10011824	R6024\r\n- not enough space for _onexit/atexit table\r\n
1001185c	R6019\r\n- unable to open console device\r\n
10011888	R6018\r\n- unexpected heap error\r\n
100118ac	R6017\r\n- unexpected multithread lock error\r\n
100118dc	R6016\r\n- not enough space for thread data\r\n
10011908	\r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application's support team for more information.\r\n
100119a0	R6009\r\n- not enough space for environment\r\n
100119cc	R6008\r\n- not enough space for arguments\r\n
100119f8	R6002\r\n- floating point support not loaded\r\n
10011a28	Microsoft Visual C++ Runtime Library
10011a58	<program name unknown>
10011a70	Runtime Error!\n\nProgram: 
10011a8c	.mixcrt
10011a94	EncodePointer
10011aa4	KERNEL32.DLL
10011ab4	DecodePointer
10011ac4	FlsFree
10011acc	FlsSetValue
10011ad8	FlsGetValue
10011ae4	FlsAlloc
10011b84	bad exception
10011b9c	CorExitProcess
10011bac	mscoree.dll
10011bc4	Unknown exception
10011bf8	(null)
10011c08	(null)
10011ccc	 Complete Object Locator'
10011ce8	 Class Hierarchy Descriptor'
10011d08	 Base Class Array'
10011d1c	 Base Class Descriptor at (
10011d38	 Type Descriptor'
10011d4c	`local static thread guard'
10011d68	`managed vector copy constructor iterator'
10011d94	`vector vbase copy constructor iterator'
10011dc0	`vector copy constructor iterator'
10011de4	`dynamic atexit destructor for '
10011e08	`dynamic initializer for '
10011e24	`eh vector vbase copy constructor iterator'
10011e50	`eh vector copy constructor iterator'
10011e78	`managed vector destructor iterator'
10011ea0	`managed vector constructor iterator'
10011ec8	`placement delete[] closure'
10011ee8	`placement delete closure'
10011f04	`omni callsig'
10011f14	 delete[]
10011f20	 new[]
10011f28	`local vftable constructor closure'
10011f4c	`local vftable'
10011f5c	`RTTI
10011f68	`udt returning'
10011f78	`copy constructor closure'
10011f94	`eh vector vbase constructor iterator'
10011fbc	`eh vector destructor iterator'
10011fdc	`eh vector constructor iterator'
10012000	`virtual displacement map'
1001201c	`vector vbase constructor iterator'
10012040	`vector destructor iterator'
10012060	`vector constructor iterator'
10012080	`scalar deleting destructor'
100120a0	`default constructor closure'
100120c0	`vector deleting destructor'
100120e0	`vbase destructor'
100120f4	`string'
10012100	`local static guard'
10012118	`typeof'
10012124	`vcall'
1001212c	`vbtable'
10012138	`vftable'
100121c0	operator
100121e4	 delete
100121f4	__unaligned
10012200	__restrict
1001220c	__ptr64
10012214	__clrcall
10012220	__fastcall
1001222c	__thiscall
10012238	__stdcall
10012244	__pascal
10012250	__cdecl
