entry	name	body
10001000	FUN_10001000	[[10001000, 10001006]]
10001010	FUN_10001010	[[10001010, 1000104e]]
10001050	FUN_10001050	[[10001050, 1000109f]]
100010a0	FUN_100010a0	[[100010a0, 100010ed]]
100010f0	FUN_100010f0	[[100010f0, 1000113c]]
10001140	FUN_10001140	[[10001140, 10001157]]
10001160	FUN_10001160	[[10001160, 100011c6]]
100011d0	FUN_100011d0	[[100011d0, 1000120e]]
10001210	FUN_10001210	[[10001210, 1000122d]]
10001230	FUN_10001230	[[10001230, 10001236]]
10001240	FUN_10001240	[[10001240, 10001243]]
10001250	FUN_10001250	[[10001250, 1000127e]]
10001280	FUN_10001280	[[10001280, 10001299]]
100012a0	FUN_100012a0	[[100012a0, 100012ac]]
100012b0	FUN_100012b0	[[100012b0, 100012c5]]
100012d0	FUN_100012d0	[[100012d0, 100012ff]]
10001300	FUN_10001300	[[10001300, 1000132e]]
10001330	FUN_10001330	[[10001330, 100013fc]]
10001400	FUN_10001400	[[10001400, 10001422]]
10001430	FUN_10001430	[[10001430, 10001505]]
10001510	FUN_10001510	[[10001510, 10001557]]
10001560	FUN_10001560	[[10001560, 100015a7]]
100015b0	FUN_100015b0	[[100015b0, 100015d1]]
100015e0	FUN_100015e0	[[100015e0, 100015f8]]
10001600	FUN_10001600	[[10001600, 1000163b]]
10001640	FUN_10001640	[[10001640, 1000165d]]
10001660	FUN_10001660	[[10001660, 10001678]]
10001680	FUN_10001680	[[10001680, 1000168a]]
10001690	FUN_10001690	[[10001690, 100016ad]]
100016b0	IopPaperPixSize	[[100016b0, 100016d0]]
100016e0	operator=	[[100016e0, 100016fa]]
10001700	FUN_10001700	[[10001700, 10001751]]
10001760	IopPaperSize	[[10001760, 10001791]]
100017a0	operator=	[[100017a0, 100017d7]]
100017e0	FUN_100017e0	[[100017e0, 10001834]]
10001840	PixelWidth	[[10001840, 10001843]]
10001850	BitsPerPixel	[[10001850, 10001853]]
10001860	CImageData	[[10001860, 10001898]]
100018a0	operator=	[[100018a0, 100018d2]]
100018e0	GetPixel	[[100018e0, 100018e2]]
100018f0	operator=	[[100018f0, 10001934]]
10001940	CImageData	[[10001940, 1000195f]]
10001960	CImageData	[[10001960, 100019ad]]
100019b0	~CImageData	[[100019b0, 100019ca]]
100019d0	CImageAnalysis	[[100019d0, 100019f9]]
10001a00	SetPosition	[[10001a00, 10001a10]]
10001a20	FUN_10001a20	[[10001a20, 10001a60]]
10001a70	FUN_10001a70	[[10001a70, 10001a85]]
10001a90	FUN_10001a90	[[10001a90, 10001aae]]
10001ab0	FUN_10001ab0	[[10001ab0, 10001ad3]]
10001ae0	FUN_10001ae0	[[10001ae0, 10001ae6]]
10001af0	FUN_10001af0	[[10001af0, 10001afa]]
10001b00	FUN_10001b00	[[10001b00, 10001b26]]
10001b30	FUN_10001b30	[[10001b30, 10001b52]]
10001b60	FUN_10001b60	[[10001b60, 10001b75]]
10001b80	FUN_10001b80	[[10001b80, 10001b8a]]
10001b90	FUN_10001b90	[[10001b90, 10001be9]]
10001bf0	FUN_10001bf0	[[10001bf0, 10001bff]]
10001c00	FUN_10001c00	[[10001c00, 10001c20]]
10001c30	NumberofNonBorderNeighbors	[[10001c30, 10001cc9]]
10001cd0	FindBorderColor	[[10001cd0, 10001ed7] [10001ee0, 10001f4d] [10001f50, 10001ff7]]
10002010	AutoCrop	[[10002010, 1000221a]]
10002220	FUN_10002220	[[10002220, 10002271]]
10002280	CImageAnalysis	[[10002280, 1000228f]]
10002290	AutoCrop	[[10002290, 1000229d]]
100022a0	~CImageAnalysis	[[100022a0, 100022a4]]
100022b0	CImageAnalysis	[[100022b0, 10002300]]
10002310	FUN_10002310	[[10002310, 10002361]]
10002370	FUN_10002370	[[10002370, 10002399]]
100023a0	FUN_100023a0	[[100023a0, 100024c6]]
100024d0	FUN_100024d0	[[100024d0, 100025f6]]
10002600	FUN_10002600	[[10002600, 1000261d]]
10002620	CreateImageObject	[[10002620, 10002738] [10002749, 1000275a]]
10002739	Catch@10002739	[[10002739, 10002745]]
10002780	FUN_10002780	[[10002780, 10002825]]
10002830	FUN_10002830	[[10002830, 1000283d]]
10002840	thunk_FUN_1000aa20	[[10002840, 10002844]]
10002850	Get_AppHwnd	[[10002850, 10002856]]
10002860	Iop_Manager	[[10002860, 100028ff]]
10002900	operator=	[[10002900, 100029b2]]
100029c0	bad_alloc	[[100029c0, 100029d8]]
100029f0	FUN_100029f0	[[100029f0, 10002a13]]
10002a20	FUN_10002a20	[[10002a20, 10002a4c]]
