address	value
1001e32c	__Canon_ScanGear_Main__
1001e35c	bad allocation
1001e36c	empty
1001e3c8	GreyDelta
1001e3f8	ColorDelta
1001e42c	Unicows.dll
1001e438	???.???
1001e458	Kernel32.dll
1001e474	Kernel32.dll
1001e527	ASGIPPDEF
1001e648	CreateActCtxW
1001e658	ActivateActCtx
1001e668	DeactivateActCtx
1001e67c	FindActCtxSectionStringW
1001e698	QueryActCtxW
1001e6a8	Comctl32.dll
1001e6c4	GetModuleHandleExW
1001e6d8	IsolationAware function called after IsolationAwareCleanup\n
1001e714	InitCommonControls
1001e728	comctl32.dll
1001e744	SensorType
1001e7c4	Execute Every Scan
1001e7ec	LampOffTime
1001e804	SG_SecondBoot
1001e820	DetailInfoBtn
1001e83c	MonitorGamma
1001e858	Image Type FAUMON ThumbSize
1001e890	Image Type FAUCOL ThumbSize
1001e8c8	ScanEndSound_File
1001e8ec	ScanEndSound_Sw
1001e910	ScanStartSound_File
1001e938	ScanStartSound_Sw
1001e95c	DataFolder
1001e974	UserTempFolder
1001e994	MonitorCorrect
1001e9b4	SilentMode
1001e9cc	RemoveWF
1001e9e0	ThumbCutOutSize
1001ea00	ColorMatch Pos
1001ea20	ColorMatch Neg
1001ea40	ColorMatch Platen
1001ea64	HiQualityScan
1001ea80	Gray ColorMatch
1001eaa0	Color ColorMatch
1001eac4	FilmCutSmall
1001eae0	Film Type
1001eb30	ColorMatch Output
1001eb58	platen
1001ec70	EXECUTIVE
1001ec84	STATEMENT
1001ec98	BUSINESS CARD
1001eccc	US LEGAL
1001ece0	US LETTER
1001ecf4	B5 LETTER
1001ed08	A4 LETTER
1001ed28	SOFTWARE
1001edd0	Canon
1001eddc	ScanGear
1001edf0	Devices
1001ee00	_SG_IPM_DATA_
1001ee1c	Canon\%s
1001ee30	Canon\%s\Temp
1001ee4c	AppData
1001ee5c	Explorer
1001ee70	Shell Folders
1001ee90	Microsoft\Windows\CurrentVersion
1001eed4	DummyData
1001eef8	GetThreadPreferredUILanguages
1001ef18	kernel32.dll
1001ef34	SGRES_JP.DLL
1001ef50	SGRES_ID.DLL
1001ef6c	SGRES_TH.DLL
1001ef88	SGRES_AR.DLL
1001efa4	SGRES_TR.DLL
1001efc0	SGRES_GR.DLL
1001efdc	SGRES_FI.DLL
1001eff8	SGRES_SE.DLL
1001f014	SGRES_NO.DLL
1001f030	SGRES_DK.DLL
1001f04c	SGRES_KR.DLL
1001f068	SGRES_CZ.DLL
1001f084	SGRES_HU.DLL
1001f0a0	SGRES_RU.DLL
1001f0bc	SGRES_PL.DLL
1001f0d8	SGRES_NL.DLL
1001f0f4	SGRES_PT.DLL
1001f110	SGRES_ES.DLL
1001f12c	SGRES_IT.DLL
1001f148	SGRES_DE.DLL
1001f164	SGRES_FR.DLL
1001f180	SGRES_US.DLL
1001f19c	SGRES_TW.DLL
1001f1b8	SGRES_CN.DLL
1001f1d4	Language
1001f1e8	LangID
1001f1f8	\_SETSCN_.INI
1001f214	TASKDIALOG
1001f22c	GetThemeSysFont
1001f23c	CloseThemeData
1001f24c	OpenThemeData
1001f25c	UxTheme.dll
1001f274	TaskDialogIndirect
1001f2a8	Unknown exception
1001f2e0	CorExitProcess
1001f2f0	mscoree.dll
1001f2fc	runtime error 
1001f310	TLOSS error\r\n
1001f320	SING error\r\n
1001f330	DOMAIN error\r\n
1001f340	R6034\r\nAn application has made an attempt to load the C runtime library incorrectly.\nPlease contact the application's support team for more information.\r\n
1001f3e0	R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
1001f4d8	R6032\r\n- not enough space for locale information\r\n
1001f510	R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
1001f574	R6030\r\n- CRT not initialized\r\n
1001f594	R6028\r\n- unable to initialize heap\r\n
1001f5bc	R6027\r\n- not enough space for lowio initialization\r\n
1001f5f4	R6026\r\n- not enough space for stdio initialization\r\n
1001f62c	R6025\r\n- pure virtual function call\r\n
1001f654	R6024\r\n- not enough space for _onexit/atexit table\r\n
1001f68c	R6019\r\n- unable to open console device\r\n
1001f6b8	R6018\r\n- unexpected heap error\r\n
1001f6dc	R6017\r\n- unexpected multithread lock error\r\n
1001f70c	R6016\r\n- not enough space for thread data\r\n
1001f738	\r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application's support team for more information.\r\n
1001f7d0	R6009\r\n- not enough space for environment\r\n
1001f7fc	R6008\r\n- not enough space for arguments\r\n
1001f828	R6002\r\n- floating point support not loaded\r\n
1001f858	Microsoft Visual C++ Runtime Library
1001f888	<program name unknown>
1001f8a0	Runtime Error!\n\nProgram: 
1001f8bc	e+000
1001f8d6	GAIsProcessorFeaturePresent
1001f8f4	KERNEL32
1001f900	.mixcrt
1001f908	EncodePointer
1001f918	KERNEL32.DLL
1001f928	DecodePointer
1001f938	FlsFree
1001f940	FlsSetValue
1001f94c	FlsGetValue
1001f958	FlsAlloc
1001f974	bad exception
1001f98c	ccs=
1001f998	UTF-8
1001f9a4	UTF-16LE
1001f9b8	UNICODE
1001fa4c	(null)
1001fa5c	(null)
1001fb24	InitializeCriticalSectionAndSpinCount
1001fb4c	kernel32.dll
1001fb5c	GetProcessWindowStation
1001fb74	GetUserObjectInformationA
1001fb90	GetLastActivePopup
1001fba4	GetActiveWindow
1001fbb4	MessageBoxA
1001fbc0	USER32.DLL
1001fbcc	 Complete Object Locator'
1001fbe8	 Class Hierarchy Descriptor'
1001fc08	 Base Class Array'
1001fc1c	 Base Class Descriptor at (
1001fc38	 Type Descriptor'
1001fc4c	`local static thread guard'
1001fc68	`managed vector copy constructor iterator'
1001fc94	`vector vbase copy constructor iterator'
1001fcc0	`vector copy constructor iterator'
1001fce4	`dynamic atexit destructor for '
1001fd08	`dynamic initializer for '
1001fd24	`eh vector vbase copy constructor iterator'
1001fd50	`eh vector copy constructor iterator'
1001fd78	`managed vector destructor iterator'
1001fda0	`managed vector constructor iterator'
1001fdc8	`placement delete[] closure'
1001fde8	`placement delete closure'
1001fe04	`omni callsig'
1001fe14	 delete[]
1001fe20	 new[]
1001fe28	`local vftable constructor closure'
1001fe4c	`local vftable'
1001fe5c	`RTTI
1001fe68	`udt returning'
