address	value
1001a188	!!COULD NOT COPY!!
1001a1b0	__Canon_ScanGear_Main__
1001a1fc	App_Office
1001a214	App_Photoshop
1001a230	App_RosettaStone
1001a254	App_OPSE
1001a268	App_YomiKAKU
1001a284	App_PageManager
1001a2a4	App_FileKAKU
1001a2c0	App_Pstudio
1001a2d8	App_MPNaviEX
1001a2f4	InformationSurvey
1001a318	CollectData
1001a330	DeviceID
1001a344	ProductId
1001a358	DriverInfo
1001a370	DeviceName
1001a388	CanonAPIVersion
1001a3a8	Use_Vista_Fallback
1001a3d0	NW_Support
1001a3e8	SEQ_SHADING
1001a400	ShadingWait
1001a418	CoreSequence
1001a434	Exec_Calibration
1001a458	UID_multi_chk_duplex
1001a484	UID_multi_chk_result
1001a4b0	UID_simple_adf_purpose
1001a4e0	UID_simple_film_purpose
1001a510	UID_simple_platen_purpose
1001a548	UID_sw_colormatch_reflect_monitor
1001a58c	UID_sw_colormatch_gray
1001a5bc	UID_sw_colormatch_color
1001a5ec	UID_adj_monitor_gamma
1001a618	UID_sw_silent_mode
1001a640	UID_energy_save_count
1001a66c	UID_sw_fullauto_fare
1001a698	UID_sw_adf_orderrejection
1001a6cc	UID_sw_adf_highspeed
1001a6f8	UID_sw_index_scan_type
1001a728	UID_sw_exit_after_scan
1001a758	UID_sw_allow_16bit
1001a780	UID_sw_uioff_scan_cut_small
1001a7b8	UID_sw_save_preview
1001a7e0	UID_sw_thumb_cutout_size
1001a814	UID_sw_auto_crop
1001a838	UID_sw_copygamma
1001a85c	UID_sw_auto_stad
1001a880	UID_scn_calibration
1001a8a8	UID_scn_fine_read
1001a8cc	UID_saved_exposure_value
1001a900	UID_saved_auto_exposure
1001a930	UID_sw_threshold
1001a954	UID_sw_cubs_platen
1001a97c	UID_sw_balco_film
1001a9a0	UID_sw_balco_platen
1001a9c8	UID_sw_gerc_g_film
1001a9f0	UID_sw_gerc_g_platen
1001aa1c	UID_sw_gerc_c_film
1001aa44	UID_sw_gerc_c_platen
1001aa70	UID_sw_fare
1001aa88	UID_sw_qare
1001aaa0	UID_sw_usm
1001aab8	UID_sw_moire
1001aad4	UID_film_mon_color
1001aafc	UID_film_col_color
1001ab24	UID_refrect_color
1001ab48	UID_adv_res_print
1001ab6c	UID_adv_res_disp
1001ab90	UID_adv_res_free
1001abb4	UID_adv_disp_film_size
1001abe4	UID_adv_disp_paper
1001ac0c	UID_adv_scan_film
1001ac30	UID_adv_scan_color
1001ac58	UIDefault
1001ac6c	UID_scan_source
1001ac8c	UIOFFScan
1001aca0	UIOFFFilmScale
1001acc0	Ccap_Table
1001acd8	CapyFAUScanResolutions
1001ad08	CapxFAUScanResolutions
1001ad38	CapyFAUScanResolutionsList
1001ad70	CapxFAUScanResolutionsList
1001ada8	CapyResolutions
1001adc8	CapxResolutions
1001ade8	CapADFHeight
1001ae04	CapADFWidth
1001ae1c	CapFAUHeight
1001ae38	CapFAUWidth
1001ae50	CapPlatenHeight
1001ae70	CapPlatenWidth
1001ae90	CapyNativeRes
1001aeac	CapxNativeRes
1001aec8	CapBitDepth
1001aee0	CapDeviceDepend
1001af00	CCapCalibrationLess
1001af28	ScannerTest
1001af40	SoundSettings
1001af5c	TemporaryFolder
1001af7c	SilentModePref
1001af9c	EnergySavePref
1001afbc	MonitorGamma
1001afd8	AutoToneSetting
1001aff8	ColorCorrectionMode
1001b020	FullAuto_FARE
1001b03c	ADFSetting_OrderRejection
