address	value
1001216f	?SGCFLTR.DLL
100121c0	bad allocation
10012200	Unknown exception
10012244	bad exception
1001225c	EncodePointer
1001226c	KERNEL32.DLL
1001227c	DecodePointer
1001228c	FlsFree
10012294	FlsSetValue
100122a0	FlsGetValue
100122ac	FlsAlloc
100122c0	e+000
100122d6	GAIsProcessorFeaturePresent
100122f4	KERNEL32
10012300	CorExitProcess
10012310	mscoree.dll
1001231c	 Complete Object Locator'
10012338	 Class Hierarchy Descriptor'
10012358	 Base Class Array'
1001236c	 Base Class Descriptor at (
10012388	 Type Descriptor'
1001239c	`local static thread guard'
100123b8	`managed vector copy constructor iterator'
100123e4	`vector vbase copy constructor iterator'
10012410	`vector copy constructor iterator'
10012434	`dynamic atexit destructor for '
10012458	`dynamic initializer for '
10012474	`eh vector vbase copy constructor iterator'
100124a0	`eh vector copy constructor iterator'
100124c8	`managed vector destructor iterator'
100124f0	`managed vector constructor iterator'
10012518	`placement delete[] closure'
10012538	`placement delete closure'
10012554	`omni callsig'
10012564	 delete[]
10012570	 new[]
10012578	`local vftable constructor closure'
1001259c	`local vftable'
100125ac	`RTTI
100125b8	`udt returning'
100125c8	`copy constructor closure'
100125e4	`eh vector vbase constructor iterator'
1001260c	`eh vector destructor iterator'
1001262c	`eh vector constructor iterator'
10012650	`virtual displacement map'
1001266c	`vector vbase constructor iterator'
10012690	`vector destructor iterator'
100126b0	`vector constructor iterator'
100126d0	`scalar deleting destructor'
100126f0	`default constructor closure'
10012710	`vector deleting destructor'
10012730	`vbase destructor'
10012744	`string'
10012750	`local static guard'
10012768	`typeof'
10012774	`vcall'
1001277c	`vbtable'
10012788	`vftable'
10012810	operator
10012838	 delete
10012848	__unaligned
10012854	__restrict
10012860	__ptr64
10012868	__clrcall
10012874	__fastcall
10012880	__thiscall
1001288c	__stdcall
10012898	__pascal
100128a4	__cdecl
100128ac	__based(
10012a3c	runtime error 
10012a50	TLOSS error\r\n
10012a60	SING error\r\n
10012a70	DOMAIN error\r\n
10012a80	R6034\r\nAn application has made an attempt to load the C runtime library incorrectly.\nPlease contact the application's support team for more information.\r\n
10012b20	R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
10012c18	R6032\r\n- not enough space for locale information\r\n
10012c50	R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
10012cb4	R6030\r\n- CRT not initialized\r\n
10012cd4	R6028\r\n- unable to initialize heap\r\n
