entry	name	body
10001000	FUN_10001000	[[10001000, 1000101a]]
10001020	FUN_10001020	[[10001020, 10001025]]
10001030	FUN_10001030	[[10001030, 10001051]]
100010c0	FUN_100010c0	[[100010c0, 100010d6]]
100010e0	FUN_100010e0	[[100010e0, 10001147]]
10001150	FUN_10001150	[[10001150, 10001183]]
10001190	FUN_10001190	[[10001190, 100011ab]]
100011b0	FUN_100011b0	[[100011b0, 100011bd]]
100011c0	FUN_100011c0	[[100011c0, 100011cc]]
100011d0	FUN_100011d0	[[100011d0, 100011dc]]
100011e0	FUN_100011e0	[[100011e0, 100011ed]]
100011f0	FUN_100011f0	[[100011f0, 10001216]]
10001220	FUN_10001220	[[10001220, 10001229]]
10001230	Fork	[[10001230, 100012a9]]
100012b0	Reallocate	[[100012b0, 100012e6]]
100012f0	FUN_100012f0	[[100012f0, 1000130d]]
10001310	thunk_FUN_10001020	[[10001310, 10001314]]
10001320	FUN_10001320	[[10001320, 10001346]]
10001350	PrepareWrite2	[[10001350, 1000139b]]
100013a0	GetManager	[[100013a0, 100013c2]]
100013d0	CStringT<wchar_t,class_StrTraitMFC<wchar_t,class_ATL::ChTraitsOS<wchar_t>_>_>	[[100013d0, 100013f7]]
10001400	FID_conflict:PrepareWrite	[[10001400, 1000142a]]
10001430	FUN_10001430	[[10001430, 100014f8]]
10001500	FUN_10001500	[[10001500, 1000157d]]
10001580	FUN_10001580	[[10001580, 100015a4]]
100015b0	FUN_100015b0	[[100015b0, 10001688]]
10001690	FUN_10001690	[[10001690, 100018a4]]
100018b0	FUN_100018b0	[[100018b0, 100018b5]]
100018c0	PreTranslateMessage	[[100018c0, 100018c4]]
10001970	FUN_10001970	[[10001970, 1000199d]]
100019a0	FUN_100019a0	[[100019a0, 100019aa]]
100019b0	FUN_100019b0	[[100019b0, 100019c3]]
100019d0	FUN_100019d0	[[100019d0, 10001a00]]
10001a10	FUN_10001a10	[[10001a10, 10001ad3]]
10001ae0	FUN_10001ae0	[[10001ae0, 10001b95]]
10001ba0	CreateObject	[[10001ba0, 10001c06]]
