address	value
100dbad0	__Canon_ScanGear_Main__
100dbc80	CColorSampleMainFrame
100dbe30	%s (%s:%d)
100dbe48	%s (%s:%d)\n%s
100dbe64	Exception thrown in destructor
100dbe88	C:\Program Files\Microsoft Visual Studio 8\VC\ATLMFC\INCLUDE\afxwin2.inl
100dbf58	CColorSampleView
100dbf98	C:\Program Files\Microsoft Visual Studio 8\VC\ATLMFC\INCLUDE\afxwin1.inl
100dcdd8	(Code:%i,%i,%i)
100dd0f8	%s-%i
100dd104	%s%02d
100dd128	FavoriteList_Pog
100dd14c	FavoriteList_Neg
100dd178	FavoriteListADF
100dd1a0	FavoriteList
100dd438	FaveToneAdjList_Threshold
100dd454	FaveToneAdjList_Tone
100dd46c	Color-
100dd474	Mono-
100dd6d8	%d %%
100dd710	Arial
100dd788	Static
100dd798	AfxWnd42sd
100ddf50	%2.2f
100ddf5c	%3.1f
100de310	CDlgPreference
100de698	%i %%
100de808	ACD FotoCanvas
100dea40	Unicows.dll
100dea4c	???.???
100dea6c	Kernel32.dll
100dea88	Kernel32.dll
100deaa0	frame
100deaac	CreateActCtxW
100deabc	ActivateActCtx
100deacc	DeactivateActCtx
100deae0	FindActCtxSectionStringW
100deafc	QueryActCtxW
100deb0c	Comctl32.dll
100deb28	GetModuleHandleExW
100deb3c	IsolationAware function called after IsolationAwareCleanup\n
100deb80	Dummy_Window_Class
100debac	Gray ColorMatch
100debcc	Color ColorMatch
100debf0	ScanStartSound_Sw
100dec14	ScanStartSound_File
100dec3c	ScanEndSound_Sw
100dec5c	ScanEndSound_File
100dec80	DetailInfoBtn
100dec9c	Button
100decac	CMainBase
100dee80	CMainFrame
100deec0	ShieldWnd
100deed4	ScanGear_STI_Terminate_Process
100df090	open
100df0b8	 %i 
100df0e0	 %i%c%02i 
100df4f0	CMainSheet
100df65c	ComboBox
100df988	bad allocation
100df998	REBAR
100dff88	FrameHeight
100dffa0	ClientRect
100dffb8	ScrollBarPos
100e0150	Software\Canon\ScanGear
100e0184	\Devices\
100e08dc	vector<T> too long
100e0900	Comctl32.dll
100e0910	InitCommonControlsEx
100e0928	GetThemeColor
100e0938	EnableThemeDialogTexture
100e0954	GetThemePartSize
100e0968	DrawThemeBackground
