entry	name	body
10001000	FUN_10001000	[[10001000, 100017d1]]
100017e0	FUN_100017e0	[[100017e0, 10001c9d]]
10001ca0	FUN_10001ca0	[[10001ca0, 10001e90]]
10001ea0	FUN_10001ea0	[[10001ea0, 10001fd2]]
10001fe0	FUN_10001fe0	[[10001fe0, 10002088]]
10002090	FUN_10002090	[[10002090, 10002317]]
10002320	FUN_10002320	[[10002320, 10002738]]
10002740	FUN_10002740	[[10002740, 10002967]]
10002970	FUN_10002970	[[10002970, 10002acb]]
10002ad0	FUN_10002ad0	[[10002ad0, 10002e55] [10002e60, 100034ca]]
100034f0	FUN_100034f0	[[100034f0, 10003595]]
100035a0	FUN_100035a0	[[100035a0, 100035b5]]
100035c0	thunk_FUN_1003ffa0	[[100035c0, 100035c4]]
100035d0	CheckData	[[100035d0, 100035d3]]
100035e0	IsEnable	[[100035e0, 100035e3]]
100035f0	Get_SrcWidth	[[100035f0, 100035f3]]
10003600	FG_Zoom	[[10003600, 100036aa]]
100036b0	operator=	[[100036b0, 10003754]]
10003760	FUN_10003760	[[10003760, 100037b1]]
100037c0	FG_CriticalSection	[[100037c0, 100037d5]]
100037e0	~FG_CriticalSection	[[100037e0, 100037e7]]
100037f0	Lock	[[100037f0, 100037f7]]
10003800	Unlock	[[10003800, 10003807]]
10003810	operator=	[[10003810, 10003825]]
10003830	FG_Mutex	[[10003830, 10003849]]
10003850	Unlock	[[10003850, 10003859]]
10003860	`default_constructor_closure'	[[10003860, 10003872]]
10003880	FG_Semaphore	[[10003880, 1000389e]]
100038a0	~FG_Mutex	[[100038a0, 100038a9]]
100038b0	Lock	[[100038b0, 100038c0]]
100038d0	Unlock	[[100038d0, 100038e2]]
100038f0	CDPoint	[[100038f0, 100038f9]]
10003900	FUN_10003900	[[10003900, 10003983]]
10003990	Width	[[10003990, 10003995]]
100039a0	Height	[[100039a0, 100039a6]]
100039b0	SetRect	[[100039b0, 100039cd]]
100039d0	OffsetRect	[[100039d0, 100039fc]]
10003a00	PtInRect	[[10003a00, 10003a3e]]
10003a40	PtInRect	[[10003a40, 10003a81]]
10003a90	PtInRect	[[10003a90, 10003acd]]
10003ad0	RectInRect	[[10003ad0, 10003b80]]
10003b90	RectOnRect	[[10003b90, 10003bfa]]
10003c00	operator==	[[10003c00, 10003c42]]
10003c50	operator!=	[[10003c50, 10003ca4]]
10003cb0	IsRectEmpty	[[10003cb0, 10003ce3]]
10003cf0	operator=	[[10003cf0, 10003d05]]
10003d10	FG_CountParam	[[10003d10, 10003d1b]]
10003d20	operator=	[[10003d20, 10003d3e]]
10003d40	FG_File	[[10003d40, 10003d48]]
10003d50	~FG_File	[[10003d50, 10003d54]]
10003d60	IsEnabled	[[10003d60, 10003d68]]
10003d70	Set_Checker	[[10003d70, 10003d7e]]
10003d80	FG_ScanParam	[[10003d80, 10003d98]]
10003da0	~FG_CountParam	[[10003da0, 10003da0]]
10003db0	operator=	[[10003db0, 10003dc5]]
10003dd0	Get_Client	[[10003dd0, 10003dd5]]
10003de0	Get_ProductID	[[10003de0, 10003de5]]
10003df0	Set_ByteStatus	[[10003df0, 10003df9]]
10003e00	Get_ByteStatus	[[10003e00, 10003e03]]
10003e10	Get_Ability	[[10003e10, 10003e15]]
10003e20	Release_Ability_ResList	[[10003e20, 10003e2c]]
10003e30	FG_Scanner	[[10003e30, 10003ea3]]
10003eb0	operator=	[[10003eb0, 10003f1d]]
10003f20	FUN_10003f20	[[10003f20, 10003f71]]
10003f80	Lock	[[10003f80, 10003f8a]]
10003f90	Unlock	[[10003f90, 10003f9a]]
10003fa0	FG_Ring	[[10003fa0, 1000402d]]
10004030	operator=	[[10004030, 100040b7]]
100040c0	FUN_100040c0	[[100040c0, 10004111]]
10004120	FG_ImageBuf	[[10004120, 10004138]]
10004140	~FG_ImageBuf	[[10004140, 1000414a]]
10004150	Get_LinePtr	[[10004150, 1000415d]]
10004160	Size	[[10004160, 10004163]]
10004170	FG_ImageBuf	[[10004170, 100041a8]]
100041b0	operator=	[[100041b0, 100041e2]]
100041f0	FUN_100041f0	[[100041f0, 10004247]]
10004250	~FG_MemBuffer	[[10004250, 100042ae]]
100042b0	Get_Bpp	[[100042b0, 100042b6]]
100042c0	Get_Width	[[100042c0, 100042c6]]
100042d0	Get_Height	[[100042d0, 100042d6]]
100042e0	Get_Resolution	[[100042e0, 100042e6]]
100042f0	Get_Rotate	[[100042f0, 100042f6]]
10004300	IsEnabled	[[10004300, 10004320]]
10004330	FG_MemBuffer	[[10004330, 1000444c]]
10004450	operator=	[[10004450, 1000457a]]
10004580	FUN_10004580	[[10004580, 100045d4]]
100045e0	FG_Filter_CFilter	[[100045e0, 100045e8]]
100045f0	~FG_MemParam	[[100045f0, 100045f4]]
10004600	Get	[[10004600, 10004602]]
10004610	operator=	[[10004610, 1000461c]]
10004620	FG_Filter_aUSM	[[10004620, 1000462b]]
10004630	~FG_Filter_aUSM	[[10004630, 10004634]]
10004640	operator=	[[10004640, 10004655]]
10004660	~FG_Filter_Balco	[[10004660, 100046b4]]
100046c0	Check_Data	[[100046c0, 100046cc]]
100046d0	operator=	[[100046d0, 100046e5]]
100046f0	FG_Filter_ProvisionalCuBS	[[100046f0, 100046f9]]
10004700	~FG_Filter_ProvisionalCuBS	[[10004700, 10004707]]
10004710	operator=	[[10004710, 10004725]]
10004730	~FG_Filter_SMAC	[[10004730, 10004734]]
10004740	CheckData	[[10004740, 1000474c]]
10004750	operator=	[[10004750, 10004774]]
10004780	~FG_Filter_CFilter	[[10004780, 10004784]]
10004790	FG_Filter_3DLUT	[[10004790, 10004792]]
100047a0	~FG_Filter_RACS	[[100047a0, 100047f8]]
10004800	get_doc_type	[[10004800, 10004806]]
10004810	set_doc_type	[[10004810, 1000481c]]
