address	value
1005f4c0	__Canon_ScanGear_Main__
1005f4f0	bad allocation
1005f500	sRGB Color Space Profile.icm
1005f53c	MSCMS.DLL
1005f550	Unicows.dll
1005f55c	???.???
1005f57c	Kernel32.dll
1005f598	Kernel32.dll
1005f5d0	empty
1005f5ec	CreateActCtxW
1005f5fc	ActivateActCtx
1005f60c	DeactivateActCtx
1005f620	FindActCtxSectionStringW
1005f63c	QueryActCtxW
1005f64c	Comctl32.dll
1005f668	GetModuleHandleExW
1005f67c	IsolationAware function called after IsolationAwareCleanup\n
1005f6c4	ColorMatch Pos
1005f6e4	ColorMatch Neg
1005f704	ColorMatch Platen
1005f728	ColorMatch Moniter
1005f750	ColorMatch Output
1005f774	MonitorCorrect
1005f79c	.ICM
1005f7a8	.ICC
1005f7b4	\*.*
1005f7c0	EnumColorProfilesW
1005f7d4	GetColorDirectoryW
1005f7e8	MonitorGamma
1005f804	Image Type ADF PaperSize
1005f838	Execute Every Scan
1005f860	HiQualityScan
1005f8b4	SgBalcoO.raw
1005f8d0	SgBalcoI.raw
1005f8ec	UserTempFolder
1005f914	TPM.DLL
1005f938	ffffff9@Image OLE Controls
1005f954	IndexLayout
1005f96c	RACSFree
1005f978	RACSExec
1005f984	RACSCalc
1005f990	RACSInit
1005f99c	RACSLIB.DLL
1005f9b4	FSHFree
1005f9bc	FSHExec
1005f9c4	FSHAlloc
1005f9d0	IJFSHLIB.DLL
1005f9ec	DDTExec
1005f9f4	DDTFree
1005f9fc	DDTInit
1005fa04	DDT.dll
1005fa14	PTPExec
1005fa1c	PTPFree
1005fa24	PTPInit
1005fa2c	PeekToPeek.dll
1005fa4c	MC2Plus_SearchOnImage
1005fa64	MC2Plus_Initialize
1005fa78	MC2Plus.dll
1005fa90	MC_FreeImage
1005faa0	MC_SearchOnImage
1005fab4	MC_AdjustImage
1005fac4	MC_Initialize
1005fad4	MC2.DLL
1005fae4	SoftFareExecute
1005faf4	softfare.dll
1005fb10	Fare1Execute
1005fb20	Release_CFilterIF
1005fb34	Create_CFilterIF
1005fb48	SGCFLTR.DLL
1005fb60	CAPS2_SearchOnPreview
1005fb78	CAPS2_Initialize
1005fb8c	CAPS.DLL
1005fb98	AG_MakeAGGamma
1005fba8	AG_CalcAGData
1005fbb8	AG_Initialize
1005fbc8	AG.DLL
1005fbd0	ApplyColorBalance
1005fbe4	TerminateColorBalance
1005fbfc	InitializeColorBalance
1005fc14	HSL.dll
1005fc24	BALCO_Terminate
1005fc34	BALCO_Correction
1005fc48	BALCO_Initialize
1005fc5c	BaLCo.dll
1005fc70	SmacEnd
1005fc78	SmacExec
1005fc84	SmacInit
1005fc90	AusmEnd
1005fc98	AusmExec
1005fca4	AusmInit
1005fcb0	GercGEnd
1005fcbc	GercGLine
1005fcc8	GercGInit
1005fcd4	Fare2Cancel
1005fce0	Fare2Execute
1005fcf0	Fare2BandHeight
1005fd00	MoireCancel
1005fd0c	MoireExecute
1005fd1c	MoireCalcDestImage
1005fd30	USIP.DLL
1005fd44	CuBS_Terminate
1005fd54	CuBS_Correction
1005fd64	CuBS_Analyze
1005fd74	CuBS_Initialize
1005fd84	CuBS.DLL
1005fd98	GERCCConfig
1005fda4	GERCCExecute
1005fdb4	GERCCInciry
1005fdc0	RSTCOL.DLL
1005fdd8	RemoveWF
1005fe07	@EnableLine
1005fe14	PreviewBits
1005fe20	PreviewDIB
1005fe2c	PreviewRes
1005fe38	UiParam
1005fe40	1stGammaPreview16
1005fe54	AgDataCalcPath
1005fe64	AgDataCalcRect
1005fe74	AgDataPlane
1005fe80	FilmBase
1005fe8c	GercCParam
1005fe98	GercCRect
1005fea4	FilmZoomFlag
1005feb4	StadSw
1005febc	BaseGamma16
1005fec8	ScanParam
1005fed4	PreviewParam
1005fee4	PreHSLBits
1005fef0	PreHSLDIB
1005fefc	HistogramBits
1005ff0c	HistogramDIB
1005ff28	%d %%
1005ff34	SCGR.PVR
1005ff48	LampOffTime
1005ff60	ADFSetting HighSpeed
1005ff8c	WirelessLAN
1005ffac	IEEE1394
1005ffc0	USB2.0
1005ffd0	USB1.1
1005ffe0	kernel32
1005fff4	IsWow64Process
10060018	.bmp
10060024	.tif
10060030	(Code:%i,%i,%i)
10060058	Error
10060068	\n\n  Code : %i,%i,%i
10060098	SilentMode
100600c0	~SG_VI.TIF
100600d8	DefineDebug
100600f0	~SG_IR.TIF
10060108	~SG_FARE.TIF
10060124	~SG_SOFTFAREVI.TIF
1006014c	~SG_SOFTFARE.TIF
10060187	?ThumbCaps
10060194	ThumbInfo
100601b8	~SG_SCN.TMP
100601d0	FilmCutSmall
100601f4	Arial
10060200	 %d %%
10060220	option
10060230	%s\%s\%s
10060244	Software\Canon\ScanGear
10060274	Devices
10060284	Global\ScanGear Mutex
100602b0	%s\%s
100602bc	Current Language
100602e0	CCAP_MULTIPAGE_SCAN
100602f4	CCAP_SOURCE_TYPE
10060308	CCAP_ADF_REJECTION
1006031c	CCAP_STAD
10060328	CCAP_PULL_PUSH
10060338	CCAP_FILMSCAN
10060348	CCAP_FILMTYPE
10060358	CCAP_CUBS
10060364	CCAP_ROTATE_REAR_IMAGE
1006037c	CCAP_ORIENTATION
10060390	CCAP_COLOR_PROFILE
100603a4	CCAP_CALIBRATION_LESS
100603bc	CCAP_HIGHSPEED_IF
100603d0	CCAP_USE_CUSTOM_GAMMA
100603e8	CCAP_AUTOSCAN
100603f8	CCAP_USM
10060404	CCAP_DESCREEN_ENABLED
1006041c	CCAP_FARE1
10060428	CCAP_MULTICROP_SLANT
10060440	CCAP_COLOR_MATCHING
10060454	ICAP_YSCALING
10060464	ICAP_YRESOLUTION
10060478	ICAP_YNATIVERESOLUTION
10060490	ICAP_XSCALING
100604a0	ICAP_XRESOLUTION
100604b4	ICAP_XNATIVERESOLUTION
100604cc	ICAP_XFERMECH
100604dc	ICAP_UNITS
100604e8	ICAP_UNDEFINEDIMAGESIZE
10060500	ICAP_TIMEFILL
10060510	ICAP_TILES
1006051c	ICAP_THRESHOLD
1006052c	ICAP_SUPPORTEDSIZES
10060540	ICAP_SHADOW
1006054c	ICAP_ROTATION
1006055c	ICAP_PLANARCHUNKY
10060570	ICAP_PIXELTYPE
10060580	ICAP_PIXELFLAVORCODES
10060598	ICAP_PIXELFLAVOR
100605ac	ICAP_PHYSICALWIDTH
100605c0	ICAP_PHYSICALHEIGHT
100605d4	ICAP_ORIENTATION
100605e8	ICAP_MINIMUMWIDTH
100605fc	ICAP_MINIMUMHEIGHT
10060610	ICAP_MAXFRAMES
10060620	ICAP_LIGHTSOURCE
10060634	ICAP_LIGHTPATH
10060644	ICAP_LAMPSTATE
10060654	ICAP_JPEGPIXELTYPE
10060668	ICAP_IMAGEFILEFORMAT
10060680	ICAP_HIGHLIGHT
10060690	ICAP_HALFTONES
100606a0	ICAP_GAMMA
100606ac	ICAP_FRAMES
100606b8	ICAP_FLASHUSED
100606c8	ICAP_FILTER
100606d4	ICAP_EXPOSURETIME
100606e8	ICAP_CUSTHALFTONE
100606fc	ICAP_CONTRAST
1006070c	ICAP_COMPRESSION
10060720	ICAP_CCITTKFACTOR
10060734	ICAP_BRIGHTNESS
10060744	ICAP_BITORDERCODES
10060758	ICAP_BITORDER
10060768	ICAP_BITDEPTHREDUCTION
10060780	ICAP_BITDEPTH
10060790	ICAP_AUTOBRIGHT
100607a0	CAP_XFERCOUNT
100607b0	CAP_UICONTROLLABLE
100607c4	CAP_TIMEDATE
100607d4	CAP_SUPPORTEDCAPSEXT
100607ec	CAP_SUPPORTEDCAPS
10060800	CAP_REWINDPAGE
10060810	CAP_INDICATORS
10060820	CAP_FEEDPAGE
10060830	CAP_FEEDERORDER
10060840	CAP_FEEDERALIGNMENT
10060854	CAP_FEEDERLOADED
10060868	CAP_FEEDERENABLED
1006087c	CAP_EXTENDEDCAPS
10060890	CAP_DUPLEXENABLED
100608a4	CAP_DUPLEX
100608b0	CAP_DEVICEONLINE
100608c4	CAP_CLEARPAGE
100608d4	CAP_CAPTION
100608e0	CAP_PAPERDETECTABLE
100608f4	CAP_AUTOFEED
10060904	CAP_AUTHOR
