address	value
10029188	CorExitProcess
10029198	mscoree.dll
100291a4	.mixcrt
100291ac	EncodePointer
100291bc	KERNEL32.DLL
100291cc	DecodePointer
100291dc	FlsFree
100291e4	FlsSetValue
100291f0	FlsGetValue
100291fc	FlsAlloc
10029208	runtime error 
1002921c	TLOSS error\r\n
1002922c	SING error\r\n
1002923c	DOMAIN error\r\n
10029250	R6034\r\nAn application has made an attempt to load the C runtime library incorrectly.\nPlease contact the application's support team for more information.\r\n
100292f0	R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
100293e8	R6032\r\n- not enough space for locale information\r\n
10029420	R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
10029484	R6030\r\n- CRT not initialized\r\n
100294a4	R6028\r\n- unable to initialize heap\r\n
100294cc	R6027\r\n- not enough space for lowio initialization\r\n
10029504	R6026\r\n- not enough space for stdio initialization\r\n
1002953c	R6025\r\n- pure virtual function call\r\n
10029564	R6024\r\n- not enough space for _onexit/atexit table\r\n
1002959c	R6019\r\n- unable to open console device\r\n
100295c8	R6018\r\n- unexpected heap error\r\n
100295ec	R6017\r\n- unexpected multithread lock error\r\n
1002961c	R6016\r\n- not enough space for thread data\r\n
10029648	\r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application's support team for more information.\r\n
100296e0	R6009\r\n- not enough space for environment\r\n
1002970c	R6008\r\n- not enough space for arguments\r\n
10029738	R6002\r\n- floating point support not loaded\r\n
10029768	Microsoft Visual C++ Runtime Library
10029798	<program name unknown>
100297b0	Runtime Error!\n\nProgram: 
100297cc	InitializeCriticalSectionAndSpinCount
100297f4	kernel32.dll
10029888	GetProcessWindowStation
100298a0	GetUserObjectInformationA
100298bc	GetLastActivePopup
100298d0	GetActiveWindow
100298e0	MessageBoxA
100298ec	USER32.DLL
1002a100	HH:mm:ss
1002a10c	dddd, MMMM dd, yyyy
1002a120	MM/dd/yy
1002a134	December
1002a140	November
1002a14c	October
1002a154	September
1002a160	August
1002a178	April
1002a180	March
1002a188	February
1002a194	January
1002a1cc	Saturday
1002a1d8	Friday
1002a1e0	Thursday
1002a1ec	Wednesday
1002a1f8	Tuesday
1002a200	Monday
1002a208	Sunday
1002a230	SunMonTueWedThuFriSat
1002a248	JanFebMarAprMayJunJulAugSepOctNovDec
1002a280	UTF-16LE
1002a28c	UNICODE
1002a294	CONOUT$
1002a2c8	MOPPSB  
1002a3dc	e+000
1002a3f6	GAIsProcessorFeaturePresent
1002a414	KERNEL32
1002de2c	floor
1002de44	exp10
